"","date","approval","who"
"1","2/4/04",53,"fox"
"2","1/21/04",53,"fox"
"3","1/7/04",58,"fox"
"4","12/3/03",52,"fox"
"5","11/18/03",52,"fox"
"6","10/28/03",53,"fox"
"7","10/14/03",52,"fox"
"8","9/23/03",50,"fox"
"9","9/9/03",58,"fox"
"10","8/12/03",57,"fox"
"11","7/29/03",59,"fox"
"12","7/15/03",59,"fox"
"13","6/30/1/03",60,"fox"
"14","6/17/03",65,"fox"
"15","6/3/03",66,"fox"
"16","5/20/03",64,"fox"
"17","5/6/03",65,"fox"
"18","4/22/03",65,"fox"
"19","4/8/03",71,"fox"
"20","3/25/03",66,"fox"
"21","3/11/03",60,"fox"
"22","2/25/03",55,"fox"
"23","2/11/03",57,"fox"
"24","1/29/03",59,"fox"
"25","1/14/03",63,"fox"
"26","12/17/02",65,"fox"
"27","12/3/02",65,"fox"
"28","11/19/02",68,"fox"
"29","10/22/02",60,"fox"
"30","10/8/02",66,"fox"
"31","9/24/02",65,"fox"
"32","9/8/02",66,"fox"
"33","8/6/02",69,"fox"
"34","7/23/02",69,"fox"
"35","7/9/02",70,"fox"
"36","6/18/02",73,"fox"
"37","6/4/02",74,"fox"
"38","5/14/02",77,"fox"
"39","4/30/1/02",72,"fox"
"40","4/16/02",76,"fox"
"41","4/2/02",79,"fox"
"42","3/12/02",80,"fox"
"43","2/26/02",77,"fox"
"44","2/12/02",81,"fox"
"45","1/30/02",81,"fox"
"46","1/9/02",83,"fox"
"47","12/12/01",86,"fox"
"48","11/28/01",86,"fox"
"49","11/14/01",88,"fox"
"50","10/31/01",84,"fox"
"51","10/17/01",84,"fox"
"52","10/3/01",80,"fox"
"53","9/19/01",81,"fox"
"54","8/22/01",55,"fox"
"55","7/25/01",59,"fox"
"56","7/11/01",56,"fox"
"57","6/6/01",59,"fox"
"58","5/9/01",59,"fox"
"59","4/18/01",63,"fox"
"60","3/28/01",57,"fox"
"61","3/14/01",56,"fox"
"62","2/21/01",61,"fox"
"63","2/7/01",55,"fox"
"64","1/24/01",46,"fox"
"65","1/29/04",49,"gallup"
"66","1/12/04",53,"gallup"
"67","1/9/04",59,"gallup"
"68","1/2/04",60,"gallup"
"69","12/15/03",63,"gallup"
"70","12/11/03",56,"gallup"
"71","12/5/03",55,"gallup"
"72","11/14/03",50,"gallup"
"73","11/10/03",51,"gallup"
"74","11/3/03",54,"gallup"
"75","10/24/03",53,"gallup"
"76","10/10/03",56,"gallup"
"77","10/6/03",55,"gallup"
"78","9/19/03",50,"gallup"
"79","9/8/03",52,"gallup"
"80","8/25/03",59,"gallup"
"81","8/4/03",60,"gallup"
"82","7/25/03",58,"gallup"
"83","7/18/03",59,"gallup"
"84","7/7/03",62,"gallup"
"85","6/27/03",61,"gallup"
"86","6/12/03",63,"gallup"
"87","6/9/03",62,"gallup"
