"","cars.k","car.ksi","vandrivers"
"1",107,1687,12
"2",97,1508,6
"3",102,1507,12
"4",87,1385,8
"5",119,1632,10
"6",106,1511,13
"7",110,1559,11
"8",106,1630,6
"9",107,1579,10
"10",134,1653,16
"11",147,2152,13
"12",180,2148,14
"13",125,1752,14
"14",134,1765,6
"15",110,1717,8
"16",102,1558,11
"17",103,1575,7
"18",111,1520,13
"19",120,1805,13
"20",129,1800,11
"21",122,1719,11
"22",183,2008,14
"23",169,2242,16
"24",190,2478,14
"25",134,2030,17
"26",108,1655,16
"27",104,1693,15
"28",117,1623,13
"29",157,1805,13
"30",148,1746,15
"31",130,1795,12
"32",140,1926,6
"33",136,1619,9
"34",140,1992,13
"35",187,2233,14
"36",150,2192,15
"37",159,2080,14
"38",143,1768,3
"39",114,1835,12
"40",127,1569,13
"41",159,1976,12
"42",156,1853,8
"43",138,1965,8
"44",120,1689,15
"45",117,1778,8
"46",170,1976,5
"47",168,2397,17
"48",198,2654,14
"49",144,2097,13
"50",146,1963,5
"51",109,1677,8
"52",131,1941,5
"53",151,2003,12
"54",140,1813,11
"55",153,2012,13
"56",140,1912,15
"57",161,2084,11
"58",168,2080,11
"59",152,2118,10
"60",136,2150,13
"61",113,1608,8
"62",100,1503,6
"63",103,1548,8
"64",103,1382,14
"65",121,1731,12
"66",134,1798,14
"67",133,1779,13
"68",129,1887,9
"69",144,2004,4
"70",154,2077,13
"71",156,2092,6
"72",163,2051,15
"73",122,1577,12
"74",92,1356,16
"75",117,1652,7
"76",95,1382,12
"77",96,1519,10
"78",108,1421,9
"79",108,1442,9
"80",106,1543,6
"81",140,1656,7
"82",114,1561,13
"83",158,1905,14
"84",161,2199,13
"85",102,1473,14
"86",127,1655,11
"87",101,1407,11
"88",125,1395,10
"89",97,1530,4
"90",112,1309,4
"91",112,1526,9
"92",113,1327,10
"93",108,1627,10
"94",128,1748,5
"95",154,1958,13
"96",162,2274,12
"97",112,1648,10
"98",79,1401,9
"99",82,1411,7
"100",127,1403,5
"101",108,1394,10
"102",110,1520,5
"103",123,1528,6
"104",103,1643,8
"105",97,1515,6
"106",140,1685,12
"107",165,2000,15
"108",183,2215,7
"109",148,1956,14
"110",111,1462,4
"111",116,1563,10
"112",115,1459,8
"113",100,1446,7
"114",106,1622,11
"115",134,1657,3
"116",126,1638,5
"117",117,1643,11
"118",122,1683,10
"119",153,2050,10
"120",178,2262,7
"121",114,1813,10
"122",94,1445,11
"123",128,1762,9
"124",119,1461,7
"125",111,1556,8
"126",110,1431,13
"127",114,1427,8
"128",118,1554,5
"129",115,1645,8
"130",132,1653,7
"131",153,2016,12
"132",171,2207,10
"133",115,1665,7
"134",95,1361,4
"135",92,1506,10
"136",100,1360,4
"137",95,1453,8
"138",114,1522,8
"139",102,1460,7
"140",104,1552,10
"141",32,1548,8
"142",136,1827,14
"143",117,1737,8
"144",137,1941,9
"145",111,1474,8
"146",106,1458,6
"147",98,1542,7
"148",84,1404,6
"149",94,1522,5
"150",105,1385,4
"151",123,1641,5
"152",109,1510,10
"153",130,1681,7
"154",153,1938,10
"155",134,1868,12
"156",99,1726,7
"157",115,1456,4
"158",104,1445,5
"159",131,1456,6
"160",108,1365,4
"161",103,1487,4
"162",115,1558,8
"163",122,1488,8
"164",122,1684,3
"165",125,1594,7
"166",137,1850,12
"167",138,1998,2
"168",152,2079,7
"169",120,1494,8
"170",95,1057,3
"171",100,1218,2
"172",89,1168,6
"173",82,1236,3
"174",89,1076,7
"175",60,1174,6
"176",84,1139,8
"177",113,1427,8
"178",126,1487,3
"179",122,1483,3
"180",118,1513,5
"181",92,1357,5
"182",86,1165,3
"183",81,1282,4
"184",84,1110,3
"185",87,1297,6
"186",90,1185,6
"187",79,1222,7
"188",96,1284,5
"189",122,1444,7
"190",120,1575,7
"191",137,1737,4
"192",154,1763,7
