"","x"
"Alabama",57.15999985
"Alaska",253.5399933
"Arizona",114.2300034
"Arkansas",68.22000122
"California",199.5700073
"Colorado",110.8600006
"Connecticut",199.3000031
"Delaware",119.6299973
"District of Colunbia",138.3300018
"Florida",99.62999725
"Georgia",90.77999878
"Hawaii",213.9600067
"Idaho",111.6800003
"Illinois",108.8199997
"Indiana",86.83000183
"Iowa",134.7200012
"Kansas",119.0999985
"Kentucky",78.04000092
"Louisiana",56.29000092
"Maine",144.7400055
"Maryland",119.2600021
"Massachusetts",192.1300049
"Michigan",144.3699951
"Minnesota",167.9100037
"Mississippi",42.29000092
"Missour",91.19999695
"Montana",113.2399979
"Nebraska",113.75
"Nevada",104.1299973
"New Hampshire",158.4100037
"New Jersey",127.2699966
"New Mexico",103.5400009
"New York",197.6100006
"North Carolina",88.86000061
"North Dakota",126.3399963
"Ohio",113.7200012
"Oklahoma",104.1699982
"Oregon",143.4499969
"Pennsylvania",125.6100006
"Rhode Island",182.1900024
"South Carolina",67.05000305
"South Dakota",103.7900009
"Tennessee",59.11999893
"Texas",56.90999985
"Utah",123.4800034
"Vermont",192.3099976
"Virginia",99.37000275
"Washington",174.2599945
"West Virginia",85.55999756
"Wisconsin",155.3699951
"Wyoming",120.9300003
