"","V1","V2"
"1",1851,0.4017371
"2",1851.0833,0.21634721
"3",1851.1667,-0.23770146
"4",1852,0.22623716
"5",1852.0833,-0.04457001
"6",1852.1667,0.0058244841
"7",1853,0.45099413
"8",1853.0833,-0.44061792
"9",1853.1667,-1.5565185
"10",1854,-0.25944016
"11",1854.0833,0.060957915
"12",1854.1667,0.35433571
"13",1855,-0.15906353
"14",1855.0833,-1.2908861
"15",1855.1667,-0.63644102
"16",1856,0.34202739
"17",1856.0833,-0.53274785
"18",1856.1667,-1.3354418
"19",1857,-0.67123132
"20",1857.0833,0.39817853
"21",1857.1667,-0.15493453
"22",1858,0.88289914
"23",1858.0833,-0.024283482
"24",1858.1667,-0.20093547
"25",1859,1.416648
"26",1859.0833,1.3731065
"27",1859.1667,0.58434058
"28",1860,0.3712222
"29",1860.0833,-0.48459745
"30",1860.1667,-0.73927454
"31",1861,-1.3765413
"32",1861.0833,0.92787449
"33",1861.1667,0.61678924
"34",1862,-1.1838735
"35",1862.0833,-0.5874128
"36",1862.1667,-0.61115209
"37",1863,1.9638271
"38",1863.0833,1.7979293
"39",1863.1667,0.31504935
"40",1864,0.26618669
"41",1864.0833,0.57244067
"42",1864.1667,-0.040625198
"43",1865,0.17884621
"44",1865.0833,-1.1604366
"45",1865.1667,-1.2503018
"46",1866,2.0838857
"47",1866.0833,0.20171215
"48",1866.1667,-1.1133716
"49",1867,-1.2177713
"50",1867.0833,1.2290075
"51",1867.1667,-1.3855162
"52",1868,-0.57083319
"53",1868.0833,0.89536966
"54",1868.1667,0.33596551
"55",1869,0.68122954
"56",1869.0833,1.599649
"57",1869.1667,-0.51224685
"58",1870,0.35564977
"59",1870.0833,-1.2932255
"60",1870.1667,-0.88242003
"61",1871,-0.70991662
"62",1871.0833,-0.97753854
"63",1871.1667,1.0856723
"64",1872,0.2696681
"65",1872.0833,0.19070591
"66",1872.1667,-0.60886701
"67",1873,0.45281036
"68",1873.0833,0.2053952
"69",1873.1667,-0.37349765
"70",1874,1.5731302
"71",1874.0833,0.99863311
"72",1874.1667,0.48880096
"73",1875,-0.67879885
"74",1875.0833,-0.8782567
"75",1875.1667,-0.2922332
"76",1876,0.84932488
"77",1876.0833,0.7957322
"78",1876.1667,-0.19286193
"79",1877,0.31319136
"80",1877.0833,0.7204308
"81",1877.1667,-1.0349813
"82",1878,0.47015445
"83",1878.0833,1.1356132
"84",1878.1667,0.50957681
"85",1879,-0.76120193
"86",1879.0833,-0.31301022
"87",1879.1667,-0.11554832
"88",1880,1.1134116
"89",1880.0833,1.7227146
"90",1880.1667,0.10136611
"91",1881,-1.5975289
"92",1881.0833,-0.93187563
"93",1881.1667,-0.8529509
"94",1882,1.9791571
"95",1882.0833,2.154099
"96",1882.1667,1.2095776
"97",1883,-0.3228514
"98",1883.0833,0.8108494
"99",1883.1667,-0.8574186
"100",1884,0.74451488
"101",1884.0833,1.29606
"102",1884.1667,-0.071884954
"103",1885,-0.61501386
"104",1885.0833,0.46277957
"105",1885.1667,-0.23790783
"106",1886,-0.63924708
"107",1886.0833,-0.52466932
"108",1886.1667,-0.92272715
"109",1887,0.011067792
"110",1887.0833,1.2434085
"111",1887.1667,0.02737745
"112",1888,-0.5857985
"113",1888.0833,-0.90841443
"114",1888.1667,-1.9664258
"115",1889,-0.3507771
"116",1889.0833,-0.42316583
"117",1889.1667,-1.2653603
"118",1890,1.1857511
"119",1890.0833,0.81211314
"120",1890.1667,0.23148628
"121",1891,-0.3835701
"122",1891.0833,1.3000965
"123",1891.1667,-0.031651204
"124",1892,-0.85814249
"125",1892.0833,-0.32277401
"126",1892.1667,-1.4261298
"127",1893,-2.4702763
"128",1893.0833,-0.40795483
"129",1893.1667,0.35533267
"130",1894,0.7898191
"131",1894.0833,1.4138069
"132",1894.1667,0.89097883
"133",1895,-0.87223066
"134",1895.0833,-2.3546169
"135",1895.1667,-0.5536631
"136",1896,-0.085252639
"137",1896.0833,0.57016183
"138",1896.1667,-0.36372364
"139",1897,-0.59634912
"140",1897.0833,0.24098569
"141",1897.1667,-0.35071062
"142",1898,2.3017225
"143",1898.0833,0.46622245
"144",1898.1667,-1.2699689
"145",1899,1.3031466
"146",1899.0833,-0.19251303
"147",1899.1667,-0.76225007
"148",1900,-0.46196882
"149",1900.0833,-0.84115208
"150",1900.1667,-0.90477879
"151",1901,0.53246219
"152",1901.0833,-0.7293199
"153",1901.1667,-0.40759114
"154",1902,0.22767567
"155",1902.0833,-0.52753907
"156",1902.1667,-0.60569978
"157",1903,0.76811113
"158",1903.0833,1.7174289
