"","x"
"1",0.82579301
"2",-0.23695272
"3",-1.2801613
"4",-0.10829352
"5",-0.33291995
"6",-0.23635367
"7",-0.37983362
"8",-0.59033256
"9",0.044757527
"10",0.19523076
"11",0.54817356
"12",-1.7466956
"13",-0.78191404
"14",-2.6493883
"15",-1.7520119
"16",0.57118171
"17",0.31548293
"18",-0.25829591
"19",-0.21393412
"20",-0.086900261
"21",1.1711998
"22",0.34072524
"23",-0.32167148
"24",0.73999819
"25",1.0242004
"26",-1.1392124
"27",0.15709654
"28",0.66619194
"29",-0.3265185
"30",0.19876693
"31",-0.13612393
"32",0.083411811
"33",-0.14342157
"34",-0.50633794
"35",-0.10609223
"36",-1.1760061
"37",0.46457261
"38",-1.5544251
"39",0.097722738
"40",-1.3982807
"41",-0.6337057
"42",-1.565944
"43",-0.62508859
"44",-1.0038149
"45",-0.37488562
"46",0.036243117
"47",-0.35876623
"48",0.61324186
"49",0.74044035
"50",3.4575693
"51",1.8840146
"52",-0.72282583
"53",-0.046295881
"54",-1.7889691
"55",-0.58374567
"56",-0.22937657
"57",-0.0044385572
"58",-0.50078709
"59",0.33673621
"60",-0.82136025
"61",1.3401605
"62",0.25061518
"63",-0.19410646
"64",1.2338773
"65",0.40676742
"66",-0.36622298
"67",-0.26547037
"68",-0.69536707
"69",-0.56455159
"70",-0.32710114
"71",0.15938217
"72",0.24156822
"73",1.801065
"74",0.85094541
"75",0.16626251
"76",-1.5274995
"77",0.64577713
"78",-0.11220503
"79",-0.016813532
"80",-0.51012455
"81",-0.047168351
"82",-0.99111561
"83",-0.2297281
"84",0.92141778
"85",0.35703376
"86",-0.7424685
"87",0.29872487
"88",0.52540808
"89",-1.2354591
"90",-1.0841857
"91",-0.28929599
"92",-0.96689351
"93",-0.17966909
"94",-0.20583752
"95",-2.1137297
"96",0.10955722
"97",0.36880098
"98",0.61979994
"99",1.7023408
"100",-0.30440478
"101",-1.1953159
"102",-0.81600156
"103",-1.2532033
"104",-0.34882287
"105",-0.41565793
"106",-0.95873274
"107",-0.50011286
"108",-1.0118712
"109",1.022191
"110",0.24268784
"111",0.22288004
"112",-0.47384269
"113",0.48436219
"114",-0.40050493
"115",-0.56682342
"116",-0.20296039
"117",0.1711859
"118",-0.37885485
"119",-0.59543842
"120",-0.13023195
"121",0.50298182
"122",-0.430045
"123",-2.7450779
"124",0.16787507
"125",-1.2294265
"126",-0.6847795
"127",0.39061867
"128",0.60951876
"129",-0.71101687
"130",-0.84439145
"131",-0.47849223
"132",-1.0939217
"133",1.9402417
"134",0.80379829
"135",-0.066207242
"136",-0.20246068
"137",-0.41277109
"138",-0.37326421
"139",-0.43860386
"140",-0.82967596
"141",-0.10717134
"142",0.34758067
"143",-3.1613852
"144",-0.83172416
"145",1.1490902
"146",1.6674838
"147",0.58711822
"148",0.74553605
"149",0.49028205
"150",-0.30093826
"151",-0.63540429
"152",-0.42862986
"153",0.041890199
"154",-0.47910289
"155",0.30467623
"156",-0.08637523
"157",-0.61933461
"158",-1.0670607
"159",0.2008373
"160",0.62898932
"161",0.34662622
"162",-0.66389562
"163",-0.58482197
"164",-0.98003105
"165",-1.4271087
"166",-0.62145
"167",-0.029204881
"168",1.0514039
"169",0.67922984
"170",0.9953462
"171",2.8348391
"172",0.37892807
"173",0.094762314
"174",0.40056368
"175",-0.69254524
"176",-0.5974098
"177",-0.85371386
"178",-0.63176605
"179",1.1629677
"180",0.33394642
"181",1.4469881
"182",1.4126143
"183",0.039509288
"184",1.4478626
"185",1.6384601
"186",0.44815704
"187",-0.46706797
"188",-0.41002478
"189",-0.11123239
"190",-0.69429535
"191",0.28166451
"192",0.84680274
"193",-1.1806065
"194",-0.64889927
"195",-2.4126007
"196",0.81407015
"197",-0.88121537
"198",-0.76886771
"199",-0.7543127
"200",-0.98930824
"201",-1.091459
