"","voltage","time"
"1",26,5.8
"2",26,1580
"3",26,2323
"4",28,69
"5",28,108
"6",28,110
"7",28,426
"8",28,1067
"9",30,7.7
"10",30,17
"11",30,20
"12",30,21
"13",30,22
"14",30,43
"15",30,47
"16",30,139
"17",30,144
"18",30,175
"19",30,194
"20",32,0.27
"21",32,0.4
"22",32,0.69
"23",32,0.79
"24",32,2.75
"25",32,3.9
"26",32,9.8
"27",32,14
"28",32,16
"29",32,27
"30",32,53
"31",32,82
"32",32,89
"33",32,100
"34",32,215
"35",34,0.19
"36",34,0.78
"37",34,0.96
"38",34,1.31
"39",34,2.78
"40",34,3.16
"41",34,4.15
"42",34,4.67
"43",34,4.85
"44",34,6.5
"45",34,7.35
"46",34,8
"47",34,8.27
"48",34,12
"49",34,31
"50",34,32
"51",34,33
"52",34,36
"53",34,72
"54",36,0.35
"55",36,0.59
"56",36,0.96
"57",36,0.99
"58",36,1.69
"59",36,1.97
"60",36,2.07
"61",36,2.58
"62",36,2.71
"63",36,2.9
"64",36,3.67
"65",36,3.99
"66",36,5.35
"67",36,13.77
"68",36,25.5
"69",38,0.09
"70",38,0.39
"71",38,0.47
"72",38,0.73
"73",38,1.13
"74",38,1.4
"75",38,2.38
