"","x"
"1",9.1
"2",9.27
"3",6.61
"4",8.06
"5",8.55
"6",12.31
"7",9.64
"8",9.05
"9",8.59
"10",8.59
"11",7.34
"12",8.43
"13",8.8
"14",7.25
"15",8.6
"16",8.15
"17",11.71
"18",11.03
"19",6.53
"20",8.51
"21",7.55
"22",8.69
"23",7.57
"24",9.05
"25",6.28
"26",9.13
"27",9.32
"28",8.83
"29",9.14
"30",8.26
"31",7.63
"32",9.09
"33",8.1
"34",6.43
"35",9.07
"36",7.68
"37",10.44
"38",8.65
"39",7.46
"40",8.7
"41",10.61
"42",8.2
"43",6.18
"44",7.91
"45",9.59
"46",8.57
"47",10.78
"48",7.31
"49",9.53
"50",6.49
"51",8.94
"52",8.56
"53",10.96
"54",10.57
"55",7.4
"56",8.12
"57",8.27
"58",7.05
"59",9.09
"60",8.34
"61",8.86
"62",8.27
"63",6.36
"64",8.08
"65",11
"66",8.55
"67",7.83
"68",8.79
"69",8.33
"70",10.42
"71",8.26
"72",8.97
"73",6.9
"74",9.93
"75",7.42
"76",9.03
"77",8.41
"78",8.06
"79",8.69
"80",8.4
"81",8.57
"82",9.5
"83",8.85
"84",9.61
"85",10.62
"86",8.05
"87",7.8
"88",5.71
"89",7.87
"90",7.64
"91",7.66
"92",8.68
"93",8.12
"94",10.1
"95",8.67
"96",10.46
"97",9.87
"98",9.48
"99",7.04
"100",8.44
"101",9.88
"102",7.05
"103",8.29
"104",9.34
"105",7.73
"106",6.22
"107",5.53
"108",8.53
"109",7.23
"110",8.61
"111",11.28
"112",10.76
"113",8.93
"114",7.95
"115",7.46
"116",8.6
"117",8.55
"118",9.2
"119",6.82
"120",8.29
"121",6.83
"122",4.78
"123",7.21
"124",5.58
"125",8.7
"126",8.06
"127",10.86
"128",6.5
"129",9.32
"130",9.14
"131",8.13
"132",10.62
"133",6.62
"134",9.96
"135",8.64
"136",6.6
"137",6.25
"138",7.83
"139",10.03
"140",9.04
"141",8.47
"142",7.33
"143",8.66
"144",10.35
"145",5.13
"146",8.96
"147",8.49
"148",11.26
"149",8.15
"150",7.04
"151",10.02
"152",8.9
"153",7.78
"154",4.37
"155",9.93
"156",8.6
"157",8.51
"158",7.09
"159",6.93
