"","x"
"1",37
"2",60
"3",71
"4",55
"5",53
"6",78
"7",53
"8",34
"9",54
"10",66
"11",63
"12",64
"13",81
"14",83
"15",82
"16",67
"17",61
"18",63
"19",45
"20",71
"21",67
"22",47
"23",47
"24",45
"25",59
"26",58
"27",68
"28",65
"29",74
"30",48
"31",22
"32",48
"33",40
"34",45
"35",33
"36",50
"37",47
"38",43
"39",52
"40",55
"41",41
"42",49
"43",53
"44",59
"45",49
"46",64
"47",64
"48",75
"49",63
"50",51
"51",50
"52",55
"53",56
"54",61
"55",55
"56",51
"57",58
"58",58
"59",57
"60",61
"61",61
"62",52
"63",55
"64",60
"65",49
"66",67
"67",71
"68",61
"69",76
"70",87
"71",80
"72",87
"73",63
"74",75
"75",68
"76",74
"77",77
"78",81
"79",64
"80",80
"81",60
"82",71
"83",55
"84",77
"85",74
"86",62
"87",46
"88",65
"89",71
"90",24
"91",30
"92",52
"93",68
"94",52
"95",58
"96",68
"97",56
"98",58
"99",62
"100",41
"101",48
"102",56
"103",55
"104",56
"105",49
"106",50
"107",55
"108",50
"109",44
"110",60
"111",49
"112",63
"113",56
"114",65
"115",62
"116",67
"117",64
"118",70
"119",58
"120",54
"121",37
"122",40
"123",52
"124",61
"125",44
"126",60
"127",63
"128",56
"129",54
"130",70
"131",63
"132",63
"133",77
"134",63
"135",60
"136",47
"137",56
"138",55
"139",55
"140",66
"141",51
"142",51
"143",59
"144",55
"145",50
"146",50
"147",56
"148",56
"149",57
"150",48
"151",55
"152",56
"153",45
"154",38
"155",40
"156",41
"157",49
"158",44
"159",51
"160",50
"161",40
"162",60
"163",50
"164",35
"165",28
"166",38
"167",47
"168",49
"169",45
"170",57
"171",44
"172",49
"173",47
"174",54
"175",46
"176",57
"177",47
"178",48
"179",49
"180",48
"181",50
"182",55
"183",45
"184",46
"185",55
"186",66
"187",45
"188",49
"189",60
"190",39
"191",40
"192",52
"193",53
"194",52
"195",44
"196",52
"197",44
"198",48
"199",50
"200",47
"201",37
"202",46
"203",35
"204",39
"205",43
"206",42
"207",40
"208",49
"209",53
"210",43
"211",48
"212",22
"213",48
"214",43
"215",47
"216",43
"217",46
"218",48
"219",38
"220",39
"221",36
"222",40
"223",48
"224",36
"225",45
"226",41
"227",34
"228",41
"229",37
"230",53
"231",54
"232",56
"233",53
"234",65
"235",49
"236",47
"237",50
"238",34
"239",30
"240",45
"241",48
"242",47
"243",50
"244",35
"245",60
"246",48
"247",42
"248",43
"249",41
"250",41
"251",51
"252",44
"253",62
"254",50
"255",46
"256",52
"257",50
"258",51
"259",55
"260",53
"261",59
"262",43
"263",56
"264",53
"265",49
"266",50
"267",50
"268",53
"269",58
"270",42
"271",54
"272",44
"273",51
"274",51
"275",63
"276",53
"277",45
"278",63
"279",53
"280",59
"281",58
"282",59
"283",48
"284",39
"285",56
"286",53
"287",35
"288",51
"289",50
"290",62
"291",49
"292",43
"293",46
"294",41
"295",35
"296",38
"297",43
"298",45
"299",39
"300",52
"301",36
"302",41
"303",38
"304",33
"305",48
"306",51
"307",48
"308",40
"309",45
"310",42
"311",38
"312",43
"313",52
"314",42
"315",44
"316",48
"317",46
"318",51
"319",57
"320",44
"321",47
"322",53
"323",42
"324",39
"325",39
"326",42
"327",43
"328",41
"329",49
"330",36
"331",45
"332",43
"333",48
"334",39
"335",42
"336",49
"337",35
"338",33
"339",33
"340",40
"341",48
"342",39
"343",44
"344",44
"345",36
"346",47
"347",50
"348",42
"349",39
"350",27
"351",33
"352",36
"353",35
"354",47
"355",48
"356",29
"357",31
"358",37
"359",34
"360",40
"361",30
"362",34
"363",42
"364",46
"365",41
"366",39
"367",35
"368",38
"369",33
"370",45
"371",36
"372",37
"373",40
"374",40
"375",38
"376",35
"377",40
"378",27
"379",32
"380",37
"381",42
"382",39
"383",42
"384",24
"385",27
"386",30
"387",31
"388",30
"389",36
"390",30
"391",34
"392",38
"393",37
"394",36
"395",32
"396",38
"397",48
"398",32
"399",42
"400",36
"401",33
"402",43
"403",43
"404",30
"405",27
"406",27
"407",39
"408",36
"409",37
"410",36
"411",35
"412",38
"413",40
"414",34
"415",37
"416",32
