"","Make.model","type","Driver.deaths","Other.deaths"
"Toyota Avalon","Toyota Avalon","large",40,20
"Chrysler Town & Country","Chrysler Town & Country","minivan",31,36
"Toyota Camry","Toyota Camry","midsize",41,29
"Volkswagen jetta","Volkswagen jetta","subcompact",47,23
"Ford Windstar","Ford Windstar","minivan",37,35
"Nissan Maxima","Nissan Maxima","midsize",53,26
"Honda Accord","Honda Accord","midsize",54,27
"Chevrolet Venture","Chevrolet Venture","minivan",51,34
"Buick Century","Buick Century","midsize",70,23
"Subura Outback","Subura Outback","compact",74,24
"Mazda 626","Mazda 626","compact",70,29
"Chevrolet Malibu","Chevrolet Malibu","midsize",71,34
"Chevrolet Suburban","Chevrolet Suburban","SUV",46,59
"Jeep Grand Cherokee","Jeep Grand Cherokee","SUV",61,44
"Honda Civic","Honda Civic","subcompact",84,25
"Toyota Corolla","Toyota Corolla","subcompact",83,29
"Ford Expedition","Ford Expedition","SUV",55,57
"GMC Jimmy","GMC Jimmy","SUV",76,39
"Ford Taurus","Ford Taurus","midsize",78,39
"Nissan Altima","Nissan Altima","compact",72,49
"Mercury Marquis","Mercury Marquis","large",80,43
"Nissan Sentra","Nissan Sentra","subcompact",94,34
"Toyota 4Runner","Toyota 4Runner","SUV",94,43
"Chevrolet Tahoe","Chevrolet Tahoe","SUV",68,74
"Dodge Stratus","Dodge Stratus","midsize",103,40
"Lincoln TownCar","Lincoln TownCar","large",100,47
"Ford Explorer","Ford Explorer","SUV",88,60
"Pontiac Grand Am","Pontiac Grand Am","compact",118,39
"Toyota Tacoma","Toyota Tacoma","pickup",111,59
"Chevrolet Cavalier","Chevrolet Cavalier","subcompact",146,41
"Dodge neon","Dodge neon","subcompact",161,39
"Pontiac Sunfire","Pontiac Sunfire","subcompact",158,44
"Ford F-Series","Ford F-Series","pickup",110,128
