"","DY","MAX","MIN","AVG","DEP","HDD","CDD","WTR","SNW","DPTH","SPD","SPD1","DIR","MIN2","PSBL","S.S","WX","SPD3","DR"
"1",1,72,51,62,4,3,0,"0.04",0,"0",5.8,12,180,"0","0",5,18,17,170
"2",2,75,52,64,6,1,0,"0.29",0,"0",7,17,160,"M","M",4,1,22,350
"3",3,65,50,58,0,7,0,"0.00",0,"0",8.5,16,40,"M","M",4,NA,26,40
"4",4,63,48,56,-3,9,0,"0.00",0,"0",2.8,10,150,"M","M",0,NA,14,190
"5",5,59,45,52,-7,13,0,"0.05",0,"0",4.6,13,160,"M","M",4,1,17,130
"6",6,61,45,53,-7,12,0,"0.00",0,"M",4.5,10,90,"0","0",7,18,14,70
"7",7,79,54,67,7,0,2,"0.16",0,"M",5.3,14,50,"0","0",1,18,17,60
"8",8,60,53,57,-3,8,0,"0.19",0,"0",8,17,70,"0","0",10,1,25,70
"9",9,66,51,59,-1,6,0,"0.02",0,"0",4.5,12,220,"0","0",6,18,16,230
"10",10,71,50,61,0,4,0,"0.00",0,"0",3.7,12,220,"0","0",2,18,17,220
"11",11,64,53,59,-2,6,0,"0.02",0,"0",5.7,15,130,"0","0",10,1,22,140
"12",12,65,53,59,-2,6,0,"0.03",0,"0",6,21,250,"0","0",7,18,29,250
"13",13,61,51,56,-6,9,0,"T",0,"M",9.3,17,270,"M","M",8,NA,26,290
"14",14,66,51,59,-3,6,0,"0.00",0,"0",6.5,14,290,"M","M",8,NA,18,290
"15",15,69,50,60,-2,5,0,"0.00",0,"0",6.4,14,100,"M","M",3,NA,18,70
"16",16,61,49,55,-8,10,0,"0.00",0,"0",13.3,23,60,"M","M",7,NA,32,70
"17",17,62,47,55,-8,10,0,"0.00",0,"0",7.8,18,50,"M","M",5,NA,25,70
"18",18,64,46,55,-8,10,0,"0.00",0,"M",5,16,60,"0","0",0,1,21,60
"19",19,76,48,62,-2,3,0,"0.00",0,"0",3.1,10,170,"M","M",0,NA,16,80
"20",20,79,55,67,3,0,2,"0.00",0,"M",4.1,13,230,"M","M",0,NA,18,190
"21",21,64,55,60,-4,5,0,"0.27",0,"0",4.4,12,280,"M","M",0,1,15,250
"22",22,56,50,53,-12,12,0,"0.02",0,"M",10.9,20,60,"0","0",10,1,26,60
"23",23,56,50,53,-12,12,0,"0.14",0,"M",9.7,16,70,"0","0",10,1,22,70
"24",24,56,51,54,-11,11,0,"0.09",0,"0",9.7,21,60,"0","0",10,1,25,50
"25",25,62,53,58,-7,7,0,"0.01",0,"0",4.3,12,130,"0","0",10,18,15,130
"26",26,56,51,54,-12,11,0,"1.28",0,"M",8.6,26,60,"0","0",10,1,37,70
"27",27,69,50,60,-6,5,0,"0.00",0,"M",3.9,10,140,"M","M",0,NA,15,170
"28",28,69,54,62,-4,3,0,"0.04",0,"0",5.1,17,240,"M","M",6,18,26,240
"29",29,75,54,65,-2,0,0,"0.00",0,"M",5.8,13,280,"0","0",1,18,18,220
"30",30,79,61,70,3,0,5,"0.19",0,"M",4.6,13,240,"0","0",3,18,18,230
"31",31,68,59,64,-3,1,0,"0.59",0,"0",5.4,14,80,"0","0",5,18,21,160
