"","X","base_salary","cash_bonus_past","option_awards","cash_bonus","sic_code","company_name","perks_others","symbol","amount","location","industry","fy_end_revenue","empty","stock_awards_past","cash_compensation_past","total_return","rank_change","notes","fy_end_mkt_cap","rank_profit","change","batch","company_name_ticker","net_income","option_awards_past","perks_others_past","nyt","company_display_name","empty_0","amount_past","empty_2","fy_end","fy_end_net_income","empty_4","base_salary_past","chief_executive","stock_awards","rank_pay","revenues","rank_revenue","rank_total","cash_compensation","ticker"
"1",1,1,13341994,90693400,3918663,7372,"ORACLE CORP",1548632,"",96160696,"REDWOOD CITY CA","Technology",37121,NA,0,14891620,-22,60,"",129240,63,24,41060,"Oracle (ORCL)",17,62668200,1549625,NA,"Oracle (ORCL)",NA,77559820,NA,"31-May",9981,NA,1,"Lawrence J. Ellison",0,1,4,48,195,5467296,"ORCL"
"2",2,2006127,7244372,0,6954291,7372,"ACTIVISION BLIZZARD INC.",66150,"",64942306,"SANTA MONICA CA","Technology",4856,NA,0,8328640,-12,1,"",11827,90,680,41274,"Activision Blizzard (ATVI)",6,0,26918,NA,"Activision Blizzard (ATVI)",NA,8328640,NA,"31-Dec",1149,NA,1057350,"Robert A. Kotick",55915738,2,2,155,186,9026568,"ATVI"
"3",3,3513461,27500000,16329994,27500000,4833,"CBS CORP",1410234,"",60253647,"NEW YORK NY","Services",14089,NA,8499978,32605433,42,149,"",23940,62,-12,41274,"CBS (CBS)",17,27316800,1605433,NA,"CBS (CBS)",NA,68422211,NA,"31-Dec",1634,NA,3500000,"Leslie Moonves",11499958,3,3,98,35,32423695,"CBS"
"4",4,3e+06,4837719,15843215,5329750,4841,"DISCOVERY COMMUNICATIONS INC.",432986,"",49932867,"SILVER SPRING MD","Services",4487,NA,20301093,8229637,55,132,"",15569,150,-5,41274,"Discovery Communications (DISCA)",-15.95,23873389,430379,NA,"Discovery Communications (DISCA)",NA,52404119,NA,"31-Dec",954,NA,2961539,"David M. Zaslav",25326916,4,8,158,24,8762736,"DISCA"
"5",5,1155269,4e+06,13206378,2100000,4813,"LEVEL 3 COMMUNICATIONS INC",397323," ",40708970,"BROOMFIELD CO","Technology",6376,NA,3400469,5189525,36,8,"CHIEF EXECUTIVE: Mr. Crowe left the CEO position effective April 11 2013.",5058,0,261,41274,"Level 3 Communications (LVLT)",NA,2671570,354737,NA,"Level 3 Communications (LVLT)",NA,11261564,NA,"31-Dec",NA,NA,834788,"James Q. Crowe",23850000,5,47,143,47,3652592,"LVLT"
"6",6,1387474,1638572,11824290,3358320,8062,"HCA HOLDINGS INC.",21989866,"",38559950,"NASHVILLE TN","Healthcare",36783,NA,0,2989208,66,0,"",13384,164,0,41274,"HCA (HCA)",-34.89,0,25661,NA,"HCA (HCA)",NA,2989208,NA,"31-Dec",1605,NA,1324975,"Richard M. Bracken",0,6,13,49,15,26735660,"HCA"
"7",7,2500000,15500000,7750008,16520000,4841,"WALT DISNEY CO/",800700,"",37103208,"BURBANK CA","Services",42278,NA,8100073,18462932,75,67,"",92647,55,18,41182,"Walt Disney (DIS)",18,4800008,962932,NA,"Walt Disney (DIS)",NA,31363013,NA,"30-Sep",5682,NA,2e+06,"Robert A. Iger",9532500,7,3,42,12,19820700,"DIS"
"8",8,794423,750000,0,1200000,7372,"NUANCE COMMUNICATIONS INC.",183881,"",37077679,"BURLINGTON MA","Technology",1652,NA,13023750,1556559,22,26,"",7776,4,79,41182,"Nuance Communications (NUAN)",441.7,6132000,54636,NA,"Nuance Communications (NUAN)",NA,20712309,NA,"30-Sep",207,NA,751923,"Paul A. Ricci",34899375,8,25,196,88,2178304,"NUAN"
"9",9,454862,0,0,1120000,7373,"YAHOO INC",40540,"*",36615404,"SUNNYVALE CA","Technology",4987,NA,0,0,23,0,"CHIEF EXECUTIVE: Ms. Mayer became CEO on July 17 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",21916,6,0,41274,"Yahoo (YHOO)",276,0,0,NA,"Yahoo (YHOO)",NA,0,NA,"31-Dec",3945,NA,0,"Marissa A. Mayer",35000002,9,0,153,85,1615402,"YHOO"
"10",10,1550000,2735569,3648150,6205960,3021,"NIKE INC",308492,"",35212678,"BEAVERTON OR","Consumer Goods",24128,NA,3500065,4614521,30,9,"",49316,101,219,41060,"Nike (NKE)",4,2916095,343395,NA,"Nike (NKE)",NA,11030681,NA,"31-May",2223,NA,1535557,"Mark G. Parker",23500076,10,16,74,65,8064452,"NKE"
"11",11,3500000,2e+07,5999996,11500000,4841,"VIACOM INC.",269363,"",33396104,"NEW YORK NY","Services",13887,NA,13315301,23762636,41,158,"",26912,81,-22,41182,"Viacom (VIAB)",9,6000005,262636,NA,"Viacom (VIAB)",NA,43077942,NA,"30-Sep",2345,NA,3500000,"Philippe P. Dauman",12126745,11,-7,100,38,15269363,"VIAB"
"12",12,1e+06,2214100,26630306,2300000,2834,"REGENERON PHARMACEUTICALS INC",116791,"",30047097,"TARRYTOWN NY","Healthcare",1378,NA,0,3112461,209,14,"",16671,0,184,41274,"Regeneron Pharmaceuticals (REGN)",NA,7450200,112461,NA,"Regeneron Pharmaceuticals (REGN)",NA,10562661,NA,"31-Dec",750,NA,785900,"Leonard S. Schleifer",0,12,209,198,1,3416791,"REGN"
"13",13,970353,2688984,2e+06,2844346,7389,"EBAY INC",160420,"",29705081,"SAN JOSE CA","Services",14072,NA,8854607,3801928,68,24,"",66122,153,81,41274,"eBay (EBAY)",-19,3799993,167367,NA,"eBay (EBAY)",NA,16456528,NA,"31-Dec",2609,NA,945577,"John J. Donahoe",23729962,13,21,99,14,3975119,"EBAY"
"14",14,1482692,2982000,6897848,2308500,5810,"STARBUCKS CORP",220733,"",28909773,"SEATTLE WA","Services",13300,NA,5500880,4599986,38,25,"",37708,76,80,41182,"Starbucks (SBUX)",11,5978614,235294,NA,"Starbucks (SBUX)",NA,16079480,NA,"30-Sep",1384,NA,1382692,"Howard Schultz",1.8e+07,14,14,105,42,4011925,"SBUX"
"15",15,1400000,0,0,8486000,1311,"OCCIDENTAL PETROLEUM CORP /DE/",837977,"",28519053,"LOS ANGELES CA","Basic Materials",24253,NA,0,0,-16,0,"CHIEF EXECUTIVE: Mr. Chazen became CEO on May 6 2011.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",61711,163,0,41274,"Occidental Petroleum (OXY)",-30,0,0,NA,"Occidental Petroleum (OXY)",NA,0,NA,"31-Dec",4635,NA,0,"Stephen I. Chazen",17795076,15,1,73,192,10723977,"OXY"
"16",16,2200000,4800000,18994847,4643281,7900,"LIVE NATION ENTERTAINMENT INC.",46408,"",28479536,"BEVERLY HILLS CA","Services",5819,NA,2673427,6839071,12,19,"",1776,0,138,41274,"Live Nation Entertainment (LYV)",NA,2431848,37219,NA,"Live Nation Entertainment (LYV)",NA,11944346,NA,"31-Dec",NA,NA,2001852,"Michael Rapino",2595000,16,8,145,123,6889689,"LYV"
"17",17,2e+06,2e+06,2159907,4e+06,6199,"AMERICAN EXPRESS CO",987897,"",28012789,"NEW YORK NY","Financial",33808,NA,15274191,5022836,24,59,"",63495,133,25,41274,"American Express (AXP)",-9,2193374,1022836,NA,"American Express (AXP)",NA,22490401,NA,"31-Dec",4482,NA,2e+06,"Kenneth I. Chenault",18864985,17,5,56,84,6987897,"AXP"
"18",18,2567000,4368000,0,4587000,2911,"EXXON MOBIL CORP",447425,"",27229301,"IRVING TX","Basic Materials",482295,NA,17890875,7274230,5,93,"",387783,80,8,41274,"Exxon Mobil (XOM)",9,0,519230,NA,"Exxon Mobil (XOM)",NA,25165105,NA,"31-Dec",44880,NA,2387000,"Rex W. Tillerson",19627876,18,-1,1,153,7601425,"XOM"
"19",19,1050000,3950000,12074350,5200000,8090,"DAVITA HEALTHCARE PARTNERS INC.",498727,"",26799121,"DENVER CO","Healthcare",8186,NA,0,5484495,46,32,"",11661,83,53,41274,"DaVita HealthCare Partners (DVA)",8,12057150,484495,NA,"DaVita HealthCare Partners (DVA)",NA,17541645,NA,"31-Dec",536,NA,1050000,"Kent J. Thiry",7976044,19,22,129,29,6748727,"DVA"
"20",20,3e+06,0,0,22800000,6798,"ANNALY CAPITAL MANAGEMENT INC",10129,"*",25810129,"NEW YORK NY","Financial",3259,NA,0,0,1,0,"CHIEF EXECUTIVE: Ms. Denahan became CEO on October 8 2012.  CHANGE IN PAY: Not calculated because the CEO was not in place for two complete years.",13299,5,0,41274,"Annaly Capital Management (NLY)",418,0,0,NA,"Annaly Capital Management (NLY)",NA,0,NA,"31-Dec",1696,NA,0,"Wellington J. Denahan",0,20,-9,171,164,25810129,"NLY"
"21",21,2e+06,13500000,2960569,13600000,4841,"TIME WARNER INC.",167943,"",25670263,"NEW YORK NY","Services",28729,NA,6129090,15597966,35,118,"",44711,98,0,41274,"Time Warner (TWX)",5,3958385,97966,NA,"Time Warner (TWX)",NA,25685441,NA,"31-Dec",3019,NA,2e+06,"Jeffrey L. Bewkes",6941751,21,-1,63,50,15767943,"TWX"
"22",22,2800761,5461484,4833900,9032455,4841,"COMCAST CORP",3667183,"",25087379,"PHILADELPHIA PA","Services",62570,NA,5737095,11659421,60,96,"",98611,24,8,41274,"Comcast (CMCSA)",49,5847830,3397176,NA,"Comcast (CMCSA)",NA,23244346,NA,"31-Dec",6203,NA,2800761,"Brian L. Roberts",4753080,22,12,29,20,15500399,"CMCSA"
"23",23,1750000,8820000,0,7500000,2111,"PHILIP MORRIS INTERNATIONAL INC",460239," ",24726028,"NEW YORK NY","Consumer Goods",77393,NA,9119509,11053966,11,62,"CHIEF EXECUTIVE: Mr. Camilleri will leave the CEO position on May 8 2013.",137821,107,23,41274,"Philip Morris International (PM)",2,0,483966,NA,"Philip Morris International (PM)",NA,20173475,NA,"31-Dec",8800,NA,1750000,"Louis C. Camilleri",15015789,23,1,22,129,9710239,"PM"
