"","WGT","AGE","EDUC","INCOME","CHECKING","SAVING","NMMF","STOCKS","FIN","VEHIC","HOMEEQ","OTHNFIN","DEBT","NETWORTH"
"X17470",5749.9745612,54,14,66814.194577,6000,2000,0,500,39600,6400,84000,0,40200,170800
"X315",5870.6340128,40,12,42144.338118,400,0,0,0,5400,21000,8000,0,58640,17760
"X8795",8043.6949635,35,14,25697.767145,1000,160,0,0,15460,2000,12000,0,19610,9850
"X10720",6092.8720155,55,12,35976.874003,2600,19100,0,0,54700,18250,90000,0,8000,284950
"X19170",7161.7566426,40,12,39060.606061,1000,8300,0,3500,12800,9100,47000,0,21000,268900
"X22075",11429.63349,82,12,13362.838915,1000,0,50000,0,70500,7500,175000,0,0,253000
"X12235",5988.0416503,26,16,61674.641148,3000,0,0,0,16000,16000,0,0,31000,1000
"X7670",7111.7750629,50,14,53451.355662,3100,0,0,0,12200,34000,22000,0,60600,45600
"X16555",7602.8630882,71,12,16446.570973,1000,0,0,0,13000,1800,15000,0,0,29800
"X370",9917.0148024,70,6,9867.9425837,50,0,0,0,50,1300,0,0,9800,-450
"X7680",7263.7921027,52,12,35976.874003,1700,3000,2000,0,12700,4200,8000,0,92000,24900
"X6880",7039.9174156,53,11,7195.3748006,0,0,0,0,0,3300,15000,0,3400,14900
"X16570",6523.7931684,27,16,78121.212121,8500,8000,1100,1500,64100,31000,0,0,36200,58900
"X12945",6490.4551436,27,12,28781.499203,0,0,4000,0,4000,9400,0,0,1500,11900
"X6725",8265.3192249,69,12,12334.92823,500,1600,0,0,9050,8800,75000,0,0,92850
"X15725",1616.6743013,55,17,459476.07656,0,0,0,0,1238000,69000,1600000,0,0,4032000
"X19880",6805.1026514,42,14,54479.266348,3200,55,0,0,4015,38000,7000,0,147400,-7385
"X225",6865.3880206,73,12,43172.248804,11000,2000,1e+05,0,813000,15000,130000,0,0,975000
"X4995",7731.3206383,76,12,69897.926635,296440,0,0,0,393440,14400,315000,0,0,722840
"X7700",5693.9060566,43,12,58590.909091,750,1700,13000,0,48750,15400,20000,0,230000,194150
"X11375",6660.155708,48,11,52423.444976,0,1200,17600,0,20300,37800,52000,0,18810,91290
"X17920",6764.6423987,57,12,25697.767145,1600,900,0,0,111500,11000,88000,0,32340,200160
"X12365",5591.7642397,44,16,51395.53429,590,1780,0,14000,120520,26900,87500,0,17300,230120
"X920",5812.9110483,44,15,87372.408293,300,32700,0,0,93000,7700,59000,0,66000,159700
"X19050",1022.1028659,59,13,59618.819777,1500,0,0,75000,313500,7300,5e+05,0,0,1079800
"X19555",8909.1588497,47,14,25697.767145,17320,730,0,0,18650,30300,64000,0,125900,383050
"X10520",4336.528122,25,14,26725.677831,800,1500,0,0,2300,0,0,0,600,1700
"X18705",8691.5554966,28,16,71953.748006,4020,11830,0,0,16550,15200,111000,0,142000,129750
"X5095",7620.1134738,74,12,48311.802233,3500,0,0,0,60100,9600,333000,0,0,402700
"X11010",7683.5398342,62,11,6475.8373206,0,250,0,0,250,5800,0,0,840,5210
"X3540",10144.66723,23,12,28781.499203,420,340,0,0,760,4100,0,0,30,4830
"X14950",7328.9577092,40,14,71953.748006,20800,0,0,0,162700,3700,67000,800,43300,223900
"X4830",7069.5582728,44,13,3700.4784689,350,1000,0,0,1350,4800,6000,0,0,12150
"X2865",10911.342651,65,11,26725.677831,7000,6000,7500,22000,167500,9300,75000,0,0,251800
"X20945",6415.1554206,35,17,54479.266348,1200,9310,0,0,122710,29000,110000,0,159500,242210
"X13040",5263.6488343,40,13,66814.194577,0,380,0,0,19880,13500,0,0,4400,28980
"X4515",5360.7265592,33,11,28781.499203,500,0,0,0,135700,7900,0,0,780,142820
"X145",5696.8902432,21,11,513.9553429,20,20,0,0,40,0,0,0,400,-360
"X18685",8417.3120683,63,13,41116.427432,180,0,0,0,2480,8600,40000,0,5100,45980
"X17585",6373.691711,52,17,57562.998405,1000,0,0,0,92100,22000,43000,0,92000,148900
"X10090",5114.4059658,24,14,28781.499203,0,0,0,0,0,0,0,0,1300,-1300
"X13235",5454.0787103,29,14,9251.1961722,2000,20000,0,0,25000,0,0,0,0,525000
"X3045",5454.0787103,46,14,92511.961722,2500,1500,88000,0,287000,14700,34000,0,137100,324600
"X21425",5696.2367325,38,12,11307.017544,50,40,0,0,90,0,0,0,5450,-5360
"X11840",5361.2218104,34,13,7400.9569378,0,0,0,0,0,0,0,0,6000,-6000
"X3400",6327.287241,47,12,30837.320574,3500,0,0,0,25100,9900,44000,0,16600,73400
