"","x"
"1",-30.46685902
"2",-30.36225259
"3",-30.32479961
"4",-29.77594623
"5",-29.59183078
"6",-29.16711557
"7",-28.95722016
"8",-29.03125789
"9",-29.10604979
"10",-29.62259377
"11",-29.90806709
"12",-30.3950176
"13",-30.87117693
"14",-30.62065506
"15",-30.29451363
"16",-29.73119267
"17",-28.96169634
"18",-28.91461247
"19",-28.75917604
"20",-28.77284365
"21",-28.96760913
"22",-29.3984346
"23",-29.91167219
"24",-30.06518236
"25",-30.95603583
"26",-30.71505476
"27",-30.21204912
"28",-29.92650969
"29",-29.25063758
"30",-28.71282149
"31",-28.40704716
"32",-28.38702237
"33",-28.51060243
"34",-28.73286902
"35",-29.14618114
"36",-29.48173803
"37",-30.64910118
"38",-30.52292783
"39",-30.06434764
"40",-29.87776657
"41",-29.27038572
"42",-28.74029979
"43",-28.58041326
"44",-28.47535695
"45",-28.62667979
"46",-28.78188356
"47",-29.27239733
"48",-29.84309108
"49",-30.26681454
"50",-30.78816876
"51",-29.94016408
"52",-29.50587447
"53",-28.71769544
"54",-28.54152737
"55",-28.44708098
"56",-28.4264227
"57",-28.49265471
"58",-28.69844553
"59",-29.12879001
"60",-29.88570442
"61",-30.33938057
"62",-30.28163183
"63",-29.86286762
"64",-29.31438705
"65",-28.79438222
"66",-28.35894267
"67",-28.11405488
"68",-28.15121169
"69",-28.21246248
"70",-28.38170427
"71",-28.9426442
"72",-29.54314012
"73",-30.31588927
"74",-30.36116746
"75",-29.93835054
"76",-29.40103192
"77",-28.72843799
"78",-28.37114576
"79",-28.14471633
"80",-28.26069121
"81",-28.335906
"82",-28.72539396
"83",-29.2353569
"84",-29.64679737
"85",-30.18341244
"86",-30.18207021
"87",-29.86698881
"88",-29.37484094
"89",-28.97793201
"90",-28.4641834
"91",-28.31831833
"92",-28.31222661
"93",-28.39776158
"94",-28.64381331
"95",-29.13070292
"96",-29.51279462
"97",-29.98415102
"98",-30.15226713
"99",-29.90826017
"100",-29.56620166
"101",-29.00930728
"102",-28.54866359
"103",-28.48697602
"104",-28.42154522
"105",-28.58320065
"106",-28.87703457
"107",-29.35189491
"108",-29.89556631
"109",-30.18970347
"110",-30.04115214
"111",-29.75452774
"112",-29.55385564
"113",-29.02761288
"114",-28.67465192
"115",-28.49763014
"116",-28.46576367
"117",-28.66415537
"118",-28.90806863
"119",-29.35940449
"120",-29.87483897
"121",-30.36452626
"122",-30.28779741
"123",-29.97110521
"124",-29.59433152
"125",-28.96881194
"126",-28.55530141
"127",-28.56088525
"128",-28.52413775
"129",-28.66115485
"130",-29.04319315
"131",-29.58011496
"132",-29.85113348
"133",-30.347837
"134",-30.35144779
"135",-29.97761624
"136",-29.72550972
"137",-29.13437181
"138",-28.74581524
"139",-28.56389225
"140",-28.54912132
"141",-28.65988961
"142",-28.89818511
"143",-29.57551959
"144",-30.05320778
"145",-30.47934
"146",-30.4911383
"147",-30.17541505
"148",-29.68244721
"149",-28.8780573
"150",-28.67832725
"151",-28.52697237
"152",-28.57929236
"153",-28.65813176
"154",-29.10260508
"155",-29.60659155
"156",-29.97876063
"157",-30.59236205
"158",-30.65768891
"159",-30.14861876
"160",-29.61662636
"161",-29.04350534
"162",-28.77875899
"163",-28.68872168
"164",-28.72212144
"165",-28.89865956
"166",-29.12354011
"167",-29.72190393
"168",-30.080478
"169",-30.62268858
"170",-30.58620159
"171",-30.30282427
"172",-29.977902
"173",-29.41810361
"174",-28.88925445
"175",-28.8834831
"176",-28.84428634
"177",-28.90851103
"178",-29.12574782
"179",-29.86147239
"180",-30.32220059
"181",-30.64017811
"182",-30.54810269
"183",-30.2865485
"184",-29.91117728
"185",-29.26926105
"186",-28.91967834
"187",-28.69788752
"188",-28.71280267
"189",-28.87803202
"190",-29.00702962
"191",-29.69129083
"192",-30.15226006
"193",-30.45800018
"194",-30.56838412
"195",-30.18480662
"196",-29.7525049
"197",-29.27183508
"198",-28.90412324
"199",-28.78334872
"200",-28.82717789
"201",-28.84866285
"202",-28.9472596
"203",-29.70783193
"204",-30.13724863
"205",-30.42348815
"206",-30.37700396
"207",-30.14166866
"208",-29.56036295
"209",-29.03558443
"210",-28.82217902
"211",-28.82201097
"212",-28.84772383
"213",-28.87018255
"214",-28.93577863
"215",-29.53131324
"216",-29.94786194
"217",-30.51730797
"218",-30.32073035
"219",-30.1235093
"220",-29.6487909
"221",-29.02097207
"222",-28.71697726
"223",-28.66755534
"224",-28.78322001
"225",-28.82567628
"226",-29.05347695
"227",-29.42188434
"228",-29.93202504
"229",-30.38634677
"230",-30.35267307
"231",-29.87548894
"232",-29.65420833
"233",-29.13746288
"234",-28.7811324
"235",-28.70160627
"236",-28.80932602
"237",-28.74254785
"238",-28.8961107
"239",-29.57680651
"240",-30.27820955
"241",-30.34775253
"242",-30.30012678
"243",-29.97801751
"244",-29.51868237
"245",-28.84250598
"246",-28.62979881
"247",-28.68576343
"248",-28.76235448
"249",-28.83047997
"250",-29.10328722
"251",-29.30239625
"252",-29.81799998
"253",-30.28775426
"254",-30.34721208
"255",-30.09205644
"256",-29.63413912
"257",-29.01188415
"258",-28.86198033
"259",-28.91365133
"260",-28.88212184
"261",-28.78312571
"262",-28.96975887
"263",-29.47218014
"264",-29.97330018
"265",-30.30580476
"266",-30.42378892
"267",-29.85595092
"268",-29.30033136
"269",-28.80278247
"270",-28.39327093
"271",-28.57828775
"272",-28.5974811
"273",-28.46086511
"274",-28.74269439
"275",-29.1185171
"276",-29.67357613
