"","year","value"
"1",2003,0.01
"2",2003,0.25
"3",2003,0.25
"4",2002,0.01
"5",2002,0.01
"6",2002,0.25
"7",2002,0.01
"8",2002,0.01
"9",2002,0.01
"10",2002,0.01
"11",2002,0.1
"12",2002,0.01
"13",2002,0.01
"14",2002,0.05
"15",2002,0.01
"16",2002,0.1
"17",2002,0.01
"18",2002,0.05
"19",2002,0.1
"20",2002,0.25
"21",2002,0.01
"22",2002,0.05
"23",2002,0.01
"24",2002,0.1
"25",2002,0.01
"26",2002,0.01
"27",2002,0.01
"28",2002,0.01
"29",2002,0.01
"30",2002,0.01
"31",2002,0.1
"32",2002,0.01
"33",2002,0.25
"34",2001,0.01
"35",2001,0.05
"36",2001,0.25
"37",2001,0.01
"38",2001,0.25
"39",2001,0.01
"40",2001,0.01
"41",2001,0.01
"42",2001,0.01
"43",2001,0.01
"44",2001,0.25
"45",2001,0.01
"46",2001,0.05
"47",2001,0.01
"48",2001,0.05
"49",2001,0.01
"50",2001,0.01
"51",2001,0.25
"52",2001,0.25
"53",2001,0.25
"54",2001,0.05
"55",2001,0.01
"56",2001,0.05
"57",2001,0.25
"58",2001,0.01
"59",2000,0.01
"60",2000,0.25
"61",2000,0.05
"62",2000,0.25
"63",2000,0.01
"64",2000,0.01
"65",2000,0.01
"66",2000,0.25
"67",2000,0.01
"68",2000,0.01
"69",2000,0.1
"70",2000,0.01
"71",2000,0.1
"72",2000,0.05
"73",2000,0.05
"74",2000,0.01
"75",2000,0.25
"76",2000,0.01
"77",2000,0.01
"78",2000,0.1
"79",2000,0.01
"80",2000,0.25
"81",2000,0.01
"82",2000,0.25
"83",2000,0.01
"84",2000,0.25
"85",2000,0.05
"86",2000,0.01
"87",2000,0.01
"88",2000,0.25
"89",1999,0.05
"90",1999,0.01
"91",1999,0.01
"92",1999,0.1
"93",1999,0.01
"94",1999,0.01
"95",1999,0.1
"96",1999,0.01
"97",1999,0.1
"98",1999,0.01
"99",1999,0.01
"100",1999,0.1
"101",1999,0.25
"102",1999,0.01
"103",1999,0.01
"104",1999,0.01
"105",1999,0.01
"106",1999,0.01
"107",1999,0.01
"108",1999,0.05
"109",1999,0.1
"110",1999,0.1
"111",1999,0.01
"112",1999,0.01
"113",1999,0.01
"114",1998,0.25
"115",1998,0.01
"116",1998,0.25
"117",1998,0.01
"118",1998,0.05
"119",1998,0.01
"120",1998,0.25
"121",1998,0.25
"122",1998,0.01
"123",1998,0.25
"124",1998,0.01
"125",1997,0.01
"126",1997,0.25
"127",1997,0.25
"128",1997,0.05
"129",1997,0.25
"130",1997,0.01
"131",1997,0.01
"132",1997,0.05
"133",1997,0.1
"134",1997,0.01
"135",1997,0.01
"136",1997,0.01
"137",1996,0.25
"138",1996,0.25
"139",1996,0.05
"140",1996,0.01
"141",1996,0.01
