"","x"
"1",-11
"2",-10
"3",-14
"4",-24
"5",-24
"6",-15
"7",3
"8",-8
"9",-14
"10",-9
"11",-12
"12",-22
"13",-22
"14",-19
"15",-10
"16",-4
"17",5
"18",-14
"19",-5
"20",17
"21",-10
"22",-10
"23",14
"24",16
"25",-7
"26",-5
"27",22
"28",18
"29",11
"30",1
"31",-15
"32",-10
"33",-5
"34",14
"35",0
"36",2
"37",-1
"38",8
"39",12
"40",19
"41",-4
"42",-1
"43",13
"44",0
"45",5
"46",12
"47",18
"48",19
"49",32
"50",27
"51",32
"52",44
"53",40
"54",34
"55",33
"56",32
"57",32
"58",29
"59",17
"60",NA
"61",20
"62",29
"63",21
"64",6
"65",7
"66",15
"67",26
"68",33
"69",30
"70",28
"71",29
"72",11
"73",19
"74",20
"75",17
"76",29
"77",10
"78",12
"79",6
"80",15
"81",19
"82",28
"83",16
"84",20
"85",28
"86",18
"87",26
"88",18
"89",31
"90",38
"91",44
"92",39
"93",41
"94",25
"95",37
"96",48
"97",35
"98",33
"99",25
"100",35
"101",31
"102",33
"103",33
"104",19
"105",29
"106",24
"107",18
"108",28
"109",39
"110",30
"111",29
"112",22
"113",20
"114",22
"115",35
"116",40
"117",33
"118",30
"119",34
"120",42
"121",45
"122",42
"123",44
"124",28
"125",30
"126",48
"127",41
"128",30
"129",26
"130",30
"131",32
"132",48
"133",55
"134",43
"135",35
"136",42
"137",46
"138",41
"139",25
"140",27
"141",30
"142",33
"143",40
"144",38
"145",33
"146",44
"147",55
"148",53
"149",58
"150",56
"151",59
"152",61
"153",39
"154",39
"155",45
"156",57
"157",53
"158",53
"159",52
"160",36
"161",46
"162",44
"163",46
"164",47
"165",52
"166",53
"167",58
"168",59
"169",64
"170",46
"171",49
"172",61
"173",62
"174",55
"175",56
"176",38
"177",51
"178",53
"179",43
"180",42
"181",42
"182",48
"183",55
"184",62
"185",66
"186",62
"187",63
"188",64
"189",61
"190",57
"191",65
"192",60
"193",54
"194",53
"195",63
"196",58
"197",48
"198",46
"199",52
"200",52
"201",57
"202",59
"203",64
"204",57
"205",43
"206",42
"207",47
"208",52
"209",60
"210",48
"211",57
"212",59
"213",43
"214",44
"215",54
"216",55
"217",58
"218",61
"219",62
"220",48
"221",53
"222",56
"223",61
"224",56
"225",58
"226",52
"227",42
"228",49
"229",54
"230",49
"231",40
"232",41
"233",47
"234",49
"235",50
"236",50
"237",49
"238",54
"239",46
"240",44
"241",48
"242",48
"243",52
"244",60
"245",57
"246",56
"247",57
"248",55
"249",52
"250",52
"251",53
"252",56
"253",50
"254",34
"255",41
"256",48
"257",45
"258",48
"259",50
"260",48
"261",47
"262",52
"263",50
"264",44
"265",35
"266",37
"267",46
"268",46
"269",45
"270",39
"271",44
"272",44
"273",33
"274",28
"275",28
"276",33
"277",39
"278",38
"279",38
"280",35
"281",38
"282",38
"283",37
"284",30
"285",21
"286",20
"287",20
"288",21
"289",23
"290",28
"291",27
"292",25
"293",28
"294",27
"295",30
"296",34
"297",38
"298",30
"299",17
"300",23
"301",42
"302",48
"303",26
"304",26
"305",20
"306",27
"307",30
"308",32
"309",26
"310",20
"311",26
"312",31
"313",19
"314",26
"315",17
"316",19
"317",25
"318",14
"319",17
"320",24
"321",34
"322",46
"323",43
"324",37
"325",35
"326",34
"327",31
"328",26
"329",11
"330",13
"331",25
"332",25
"333",33
"334",27
"335",24
"336",13
"337",16
"338",31
"339",24
"340",19
"341",21
"342",22
"343",9
"344",17
"345",20
"346",21
"347",24
"348",6
"349",9
"350",11
"351",26
"352",12
"353",15
"354",5
"355",-8
"356",-15
"357",-15
"358",12
"359",23
"360",27
"361",11
"362",12
"363",18
"364",22
"365",-2
"366",6
"367",16
"368",-8
"369",1
"370",23
"371",0
"372",2
"373",0
"374",-1
"375",-4
"376",-14
"377",-22
"378",-20
"379",-11
"380",8
"381",-16
"382",-8
"383",-23
"384",-26
"385",-25
"386",-8
"387",-25
"388",-22
"389",-5
"390",-2
"391",-24
"392",-27
"393",-27
"394",-7
"395",6
"396",5
"397",19
"398",-6
"399",-7
"400",32
"401",3
"402",3
"403",2
"404",11
"405",12
"406",15
"407",-12
"408",-9
"409",-3
"410",-2
"411",-5
