"","y1983","y1993"
"Alabama",416,871.7000122
"Alaska",613.7999878,660.5
"Arizona",494.2000122,670.7999878
"Arkansas",297.7000122,576.5
"California",772.5999756,1119.699951
"Colorado",476.3999939,578.7999878
"Connecticut",375,495.2999878
"Delaware",453.1000061,621.2000122
"DC",1985.400024,2832.800049
"Florida",826.7000122,1207.199951
"Georgia",456.7000122,733.2000122
"Hawaii",252.1000061,258.3999939
"Idaho",238.6999969,281.3999939
"Illinois",553,977.2999878
"Indiana",283.7999878,508.2999878
"Iowa",181.1000061,278
"Kansas",326.6000061,510.7999878
"Kentucky",322.2000122,535.5
"Louisiana",640.9000244,984.5999756
"Maine",159.6000061,130.8999939
"Maryland",807.0999756,1000.099976
"Massachusetts",576.7999878,779
"Michigan",716.7000122,770.0999756
"Minnesota",190.8999939,338
"Mississippi",280.3999939,411.7000122
"Missour",477.2000122,740.4000244
"Montana",212.6000061,169.8999939
"Nebraska",217.6999969,348.6000061
"Nevada",655.2000122,696.7999878
"New Hampshire",125.0999985,125.6999969
"New Jersey",553.0999756,625.7999878
"New Mexico",686.7999878,934.9000244
"New York",914.0999756,1122.099976
"North Carolina",409.6000061,681
"North Dakota",53.70000076,83.30000305
"Ohio",397.8999939,525.9000244
"Oklahoma",423.3999939,622.7999878
"Oregon",487.7999878,510.2000122
"Pennsylvania",342.7999878,427
"Rhode Island",355.2000122,394.5
"South Carolina",616.7999878,944.5
"South Dakota",120,194.5
"Tennessee",402,746.2000122
"Texas",512.2000122,806.2999878
"Utah",256,290.5
"Vermont",132.6000061,109.5
"Virginia",292.5,374.8999939
"Washington",371.7999878,534.5
"West Virginia",171.8000031,211.5
"Wisconsin",190.8999939,275.7000122
"Wyoming",237.1999969,319.5
