"","Deflection","Load"
"1",0.11019,150000
"2",0.21956,3e+05
"3",0.32949,450000
"4",0.43899,6e+05
"5",0.54803,750000
"6",0.65694,9e+05
"7",0.76562,1050000
"8",0.87487,1200000
"9",0.98292,1350000
"10",1.09146,1500000
"11",1.20001,1650000
"12",1.30822,1800000
"13",1.41599,1950000
"14",1.52399,2100000
"15",1.63194,2250000
"16",1.73947,2400000
"17",1.84646,2550000
"18",1.95392,2700000
"19",2.06128,2850000
"20",2.16844,3e+06
"21",0.11052,150000
"22",0.22018,3e+05
"23",0.32939,450000
"24",0.43886,6e+05
"25",0.54798,750000
"26",0.65739,9e+05
"27",0.76596,1050000
"28",0.87474,1200000
"29",0.983,1350000
"30",1.0915,1500000
"31",1.20004,1650000
"32",1.30818,1800000
"33",1.41613,1950000
"34",1.52408,2100000
"35",1.63159,2250000
"36",1.73965,2400000
"37",1.84696,2550000
"38",1.95445,2700000
"39",2.06177,2850000
"40",2.16829,3e+06
