"","time of divorce","all ages","0-17","18-19","20-24","25-100"
"1","6 months",0.01,0.02,0.01,0.01,0.01
"2","12 months",0.02,0.02,0.03,0.01,0.01
"3","18 months",0.02,0.03,0.02,0.02,0.02
"4","24 months",0.02,0.03,0.03,0.02,0.01
"5","30 months",0.02,0.03,0.03,0.02,0.01
"6","36 months",0.03,0.04,0.03,0.02,0.02
"7","42 months",0.02,0.03,0.03,0.02,0.02
"8","48 months",0.02,0.03,0.02,0.02,0.01
"9","54 months",0.02,0.04,0.02,0.02,0.02
"10","60 months",0.02,0.02,0.02,0.01,0.02
"11","72 months",0.03,0.05,0.04,0.02,0.02
"12","84 months",0.03,0.05,0.04,0.03,0.02
"13","96 months",0.03,0.03,0.03,0.03,0.01
"14","108 months",0.02,0.03,0.02,0.02,0.02
"15","120 months",0.02,0.03,0.03,0.02,0.02
"16","132 months",0.02,0.01,0.02,0.02,0.02
"17","144 months",0.03,0.03,0.02,0.02,0.03
"18","156 months",0.01,0.02,0.02,0,0.01
"19","168 months",0.02,0.0299999999999999,0.00999999999999995,0.02,0.01
"20","180 months",0.02,0.02,0.02,0.01,0.04
"21","192 months",0.01,0.01,0.02,0.01,0.01
"22","204 months",0.02,0.02,0.02,0.01,0.07
"23","216 months",0.00999999999999995,0.01,0.01,0.01,0
"24","228 months",0.01,0.02,0.01,0.01,0
"25","240 months",0.02,0.02,0.01,0.00999999999999995,0
