"","Date","Open","High","Low","Close"
"1","3-Oct-00",10709.84,10976.11,10561.03,10719.74
"2","2-Oct-00",10659.06,10876.23,10479.27,10700.13
"3","29-Sep-00",10821.4,10923.21,10552.15,10650.92
"4","28-Sep-00",10629.84,10948,10539.48,10824.06
"5","27-Sep-00",10634.45,10821.1,10439.31,10628.36
"6","26-Sep-00",10806.3,10915.44,10499.61,10631.32
"7","25-Sep-00",10847.37,11039.47,10664.24,10808.15
"8","22-Sep-00",10678.3,10936.53,10505.16,10847.37
"9","21-Sep-00",10680.5,10902.1,10548.1,10765.5
"10","20-Sep-00",10794.5,10906.9,10500.4,10687.9
"11","19-Sep-00",10812.2,10961,10645.4,10789.3
"12","18-Sep-00",10926.4,11053.8,10693.8,10808.5
"13","15-Sep-00",11087.8,11203.3,10857.7,10927
"14","14-Sep-00",11189.6,11285.4,10986.5,11087.5
"15","13-Sep-00",11225,11350.9,11020.1,11182.2
"16","12-Sep-00",11197.7,11352,11015.7,11233.2
"17","11-Sep-00",11219.5,11367.1,11043.1,11195.5
"18","8-Sep-00",11261.7,11382,11059.7,11220.6
"19","7-Sep-00",11316,11444.8,11124.8,11259.9
"20","6-Sep-00",11253.6,11518.8,11186.2,11310.6
"21","5-Sep-00",11221.8,11382.7,11094.5,11260.6
"22","1-Sep-00",11219.5,11406.7,11130,11238.8
"23","31-Aug-00",11105.2,11416,11040.9,11215.1
"24","30-Aug-00",11209,11282.1,11034.6,11103
"25","29-Aug-00",11249.3,11356.4,11100.8,11215.1
"26","28-Aug-00",11194.5,11410.4,11123.4,11252.8
"27","25-Aug-00",11180.5,11301.4,11073.6,11192.6
"28","24-Aug-00",11143.9,11302.5,11009.1,11182.7
"29","23-Aug-00",11130.5,11253.1,10990.4,11144.6
"30","22-Aug-00",11082.2,11274.7,11000.3,11139.1
"31","21-Aug-00",11058.9,11193.7,10945.4,11079.8
"32","18-Aug-00",11051.2,11180.5,10933.3,11046.5
"33","17-Aug-00",11011,11180.9,10899.2,11055.6
"34","16-Aug-00",11068.8,11171,10888.6,11008.4
"35","15-Aug-00",11175,11227.1,10965.5,11067
"36","14-Aug-00",11027.1,11232.9,10928.9,11176.1
"37","11-Aug-00",10906,11131.8,10841.4,11027.8
"38","10-Aug-00",10901.1,11069.9,10779.5,10908.8
"39","9-Aug-00",10970.9,11097,10780,10905.8
"40","8-Aug-00",10865.1,11083.1,10741.4,10976.9
"41","7-Aug-00",10774,10973.2,10657.5,10867
"42","4-Aug-00",10713.4,10874,10555.7,10767.8
"43","3-Aug-00",10679.4,10844.3,10518.7,10706.6
"44","2-Aug-00",10609.1,10818.7,10514.3,10687.5
"45","1-Aug-00",10523.8,10728.9,10428.6,10607
"46","31-Jul-00",10514.3,10727.1,10374,10522
"47","28-Jul-00",10595,10732.1,10367.3,10511.2
"48","27-Jul-00",10516.8,10745.9,10450,10586.1
"49","26-Jul-00",10689.4,10790.1,10447.2,10516.5
"50","25-Jul-00",10689.3,10867.2,10557.5,10700
"51","24-Jul-00",10731.4,10895.8,10545.5,10685.1
"52","21-Jul-00",10843.5,10949.6,10614.1,10733.6
"53","20-Jul-00",10700.7,10980.3,10671.3,10843.9
"54","19-Jul-00",10724.1,10907.1,10587.9,10696.1
"55","18-Jul-00",10799.2,10895.6,10613,10739.9
"56","17-Jul-00",10812.4,10969.4,10653.3,10804.3
"57","14-Jul-00",10793.3,10935.4,10661.4,10812.8
"58","13-Jul-00",10774.9,10963,10643.4,10788.7
"59","12-Jul-00",10722.2,10930.8,10639.5,10783.8
"60","11-Jul-00",10649.1,10877.5,10544.8,10727.2
"61","10-Jul-00",10627.1,10792.2,10520,10646.6
"62","7-Jul-00",10483.3,10742,10419.2,10636
"63","6-Jul-00",10481.5,10644.1,10303.3,10481.5
"64","5-Jul-00",10538.2,10674.2,10362.3,10483.6
"65","3-Jul-00",10450.4,10610.5,10353.7,10560.7
"66","30-Jun-00",10393.1,10626.8,10161.5,10447.9
"67","29-Jun-00",10523.9,10582.9,10279.2,10398
"68","28-Jun-00",10506.4,10712.7,10399.1,10527.8
"69","27-Jun-00",10541.6,10741.7,10384.6,10504.5
"70","26-Jun-00",10403.7,10680.3,10365.1,10543
"71","23-Jun-00",10376.5,10555.4,10283.1,10404.8
"72","22-Jun-00",10496,10596.7,10257,10376.1
"73","21-Jun-00",10446.8,10607.7,10312.5,10497.7
"74","20-Jun-00",10558.9,10632.1,10318.8,10435.2
"75","19-Jun-00",10448.4,10733.6,10322,10557.8
"76","16-Jun-00",10717.8,10784.5,10393.4,10449.3
"77","15-Jun-00",10689.6,10889.5,10552.9,10714.8
"78","14-Jun-00",10632.5,10860.8,10543,10688
"79","13-Jun-00",10562.3,10751.9,10395.6,10621.8
"80","12-Jun-00",10615.1,10757.6,10476.9,10564.2
"81","9-Jun-00",10678.5,10848.4,10515.5,10614.1
"82","8-Jun-00",10818.8,10887.7,10524.9,10668.7
"83","7-Jun-00",10733.5,10974.1,10588.6,10812.9
"84","6-Jun-00",10822.6,10917,10592.8,10735.6
"85","5-Jun-00",10793.1,10951.8,10629,10815.3
"86","2-Jun-00",10660.1,11013,10600.5,10794.8
"87","1-Jun-00",10532.3,10780.4,10423,10652.2
"88","31-May-00",10528.3,10692.7,10377.4,10522.3
"89","30-May-00",10302.3,10596,10287.9,10527.1
"90","26-May-00",10322.9,10487.7,10163.2,10299.2
"91","25-May-00",10529.9,10644.3,10207.4,10323.9
"92","24-May-00",10420.9,10679.5,10241,10535.4
"93","23-May-00",10539.1,10671.7,10325.6,10422.3
"94","22-May-00",10624.8,10718,10308.1,10542.5
"95","19-May-00",10764.2,10821.8,10468.2,10626.9
"96","18-May-00",10771.8,10938.3,10669,10777.3
"97","17-May-00",10930.6,10947.2,10648.8,10769.7
"98","16-May-00",10816,11086.7,10723.5,10934.6
"99","15-May-00",10607,10902.4,10509.3,10807.8
"100","12-May-00",10549.1,10780.4,10444.5,10609.4
"101","11-May-00",10369.3,10676.9,10315.7,10546
"102","10-May-00",10533.1,10650,10169.8,10367.8
"103","9-May-00",10607.5,10765.8,10436,10536.8
"104","8-May-00",10571.3,10744.2,10400.4,10603.6
"105","5-May-00",10409.7,10688.6,10312.9,10577.9
"106","4-May-00",10478.9,10631.5,10293,10412.5
"107","3-May-00",10732.2,10754.4,10345.2,10480.1
"108","2-May-00",10805.6,10932.5,10580.6,10731.1
"109","1-May-00",10749.4,11001.3,10622.2,10811.8
"110","28-Apr-00",10892.8,11005.1,10632.5,10733.9
"111","27-Apr-00",10941.9,11024.6,10650.1,10888.1
"112","26-Apr-00",11127.9,11246.8,10816.4,10945.5
"113","25-Apr-00",10916.6,11265.7,10764.6,11124.8
"114","24-Apr-00",10822.3,11060.3,10579.1,10906.1
"115","20-Apr-00",10668.2,10941.5,10582.5,10844
