"","income","race"
"1",30930,"white"
"2",20924,"white"
"3",11104,"black"
"4",20924,"hispanic"
"5",16009,"white"
"6",16009,"hispanic"
"7",20924,"white"
"8",18598,"white"
"9",23687,"white"
"10",8653,"white"
"11",75810,"white"
"12",23687,"hispanic"
"13",8653,"white"
"14",43596,"white"
"15",11104,"white"
"16",6214,"hispanic"
"17",28565,"hispanic"
"18",6214,"white"
"19",38570,"white"
"20",11104,"white"
"21",311,"white"
"22",16009,"white"
"23",6214,"white"
"24",70844,"hispanic"
"25",13619,"white"
"26",8653,"black"
"27",75810,"white"
"28",3733,"white"
"29",23687,"white"
"30",35858,"white"
"31",3733,"white"
"32",311,"white"
"33",311,"white"
"34",16009,"black"
"35",20924,"hispanic"
"36",25901,"white"
"37",23687,"white"
"38",3733,"hispanic"
"39",13619,"white"
"40",33640,"white"
"41",20924,"white"
"42",13619,"white"
"43",45822,"white"
"44",20924,"black"
"45",13619,"white"
"46",311,"white"
"47",20924,"black"
"48",11104,"white"
"49",311,"white"
"50",48655,"white"
"51",40883,"white"
"52",28565,"white"
"53",48655,"black"
"54",311,"white"
"55",70844,"white"
"56",3733,"white"
"57",40883,"white"
"58",35858,"white"
"59",25901,"white"
"60",6214,"white"
"61",25901,"white"
"62",11104,"black"
"63",53654,"white"
"64",13619,"white"
"65",30930,"white"
"66",35858,"white"
"67",311,"white"
"68",40883,"white"
"69",48655,"white"
"70",18598,"white"
"71",18598,"white"
"72",35858,"black"
"73",3733,"white"
"74",60746,"white"
"75",16009,"white"
"76",311,"white"
"77",311,"white"
"78",11104,"white"
"79",8653,"black"
"80",33640,"white"
"81",311,"hispanic"
"82",311,"white"
"83",6214,"white"
"84",311,"hispanic"
"85",311,"hispanic"
"86",16009,"white"
"87",13619,"white"
"88",311,"hispanic"
"89",311,"white"
"90",30930,"white"
"91",8653,"white"
"92",20924,"white"
"93",8653,"hispanic"
"94",311,"white"
"95",311,"white"
"96",25901,"white"
"97",20924,"white"
"98",311,"white"
"99",6214,"black"
"100",311,"black"
"101",311,"white"
"102",11104,"white"
"103",16009,"white"
"104",50825,"white"
"105",311,"hispanic"
"106",8653,"white"
"107",311,"white"
"108",8653,"white"
"109",18598,"white"
"110",30930,"white"
"111",8653,"white"
"112",311,"white"
"113",8653,"white"
"114",311,"white"
"115",6214,"white"
