"","x"
"1",30
"2",18
"3",35
"4",22
"5",23
"6",22
"7",36
"8",24
"9",23
"10",28
"11",19
"12",23
"13",25
"14",24
"15",33
"16",21
"17",24
"18",19
"19",33
"20",23
"21",19
"22",32
"23",21
"24",18
"25",36
"26",21
"27",25
"28",17
"29",21
"30",24
"31",39
"32",22
"33",23
"34",18
"35",22
"36",28
"37",18
"38",15
"39",25
"40",21
"41",23
"42",26
"43",38
"44",24
"45",20
"46",36
"47",27
"48",21
"49",28
"50",26
"51",22
"52",28
"53",33
"54",18
"55",17
"56",21
"57",15
"58",20
"59",16
"60",21
"61",23
"62",15
"63",20
"64",38
"65",16
"66",24
"67",42
"68",22
"69",24
"70",24
"71",20
"72",17
"73",26
"74",39
"75",22
"76",21
"77",28
"78",20
"79",29
"80",14
"81",25
"82",20
"83",19
"84",17
"85",21
"86",24
"87",26
