"","x"
"1",128.9
"2",137.7
"3",151.7
"4",146.5
"5",148.5
"6",163.3
"7",155.1
"8",146.5
"9",155
"10",153.2
"11",151.7
"12",144.3
"13",144.7
"14",145
"15",140.9
"16",155.2
"17",170.2
"18",161.6
"19",142.1
"20",142.1
"21",152.2
"22",131.5
"23",117.1
"24",108.6
"25",110.7
"26",111.4
"27",124.9
"28",139.7
"29",139.2
"30",138.2
"31",139.7
"32",139.6
"33",140
"34",144.5
"35",141.9
"36",138.6
"37",145.8
"38",161.3
"39",169.3
"40",158.9
"41",149.7
"42",149.3
"43",151.3
"44",162
"45",167.9
"46",156.4
"47",151.2
"48",147.9
"49",157.2
"50",164.8
"51",173.6
"52",179.8
"53",198.3
"54",196.9
"55",191.1
"56",187.8
"57",187
"58",200
"59",197.9
"60",184.1
"61",183.1
"62",191
"63",207.9
"64",224.3
"65",216.1
"66",215.6
"67",229
"68",248.6
"69",290.3
"70",271.7
"71",225.7
"72",218.5
"73",231.6
"74",228
