"","x"
"2005-02-07",196.03
"2005-02-08",198.64
"2005-02-09",191.58
"2005-02-10",187.98
"2005-02-11",187.4
"2005-02-14",192.99
"2005-02-15",195.23
"2005-02-16",198.41
"2005-02-17",197.9
"2005-02-18",197.95
"2005-02-22",191.37
"2005-02-23",193.95
"2005-02-24",188.89
"2005-02-25",185.87
"2005-02-28",187.99
"2005-03-01",186.06
"2005-03-02",185.18
"2005-03-03",187.01
"2005-03-04",185.9
"2005-03-07",188.81
"2005-03-08",185.2
"2005-03-09",181.35
"2005-03-10",179.98
"2005-03-11",177.8
"2005-03-14",174.99
"2005-03-15",178.61
"2005-03-16",175.6
"2005-03-17",179.29
"2005-03-18",180.04
"2005-03-21",180.88
"2005-03-22",178.6
"2005-03-23",178.98
"2005-03-24",179.25
"2005-03-28",181.42
"2005-03-29",179.57
"2005-03-30",180.45
"2005-03-31",180.51
"2005-04-01",180.04
"2005-04-04",185.29
"2005-04-05",188.57
"2005-04-06",189.22
"2005-04-07",193.76
"2005-04-08",192.05
"2005-04-11",193.23
"2005-04-12",193.96
"2005-04-13",192.93
"2005-04-14",191.45
"2005-04-15",185
"2005-04-18",186.97
"2005-04-19",191.4
"2005-04-20",198.1
"2005-04-21",204.22
"2005-04-22",215.81
"2005-04-25",223.53
"2005-04-26",218.75
"2005-04-27",219.78
"2005-04-28",219.45
"2005-04-29",220
"2005-05-02",222.29
"2005-05-03",226.19
"2005-05-04",228.5
"2005-05-05",226.98
"2005-05-06",228.02
"2005-05-09",226.02
"2005-05-10",227.8
"2005-05-11",231.29
"2005-05-12",228.72
"2005-05-13",229.24
"2005-05-16",231.05
"2005-05-17",233.13
"2005-05-18",239.16
"2005-05-19",239.18
"2005-05-20",241.61
"2005-05-23",255.45
"2005-05-24",256
"2005-05-25",260.81
"2005-05-26",259.2
"2005-05-27",266
"2005-05-31",277.27
"2005-06-01",288
"2005-06-02",287.9
"2005-06-03",280.26
"2005-06-06",290.94
"2005-06-07",293.12
"2005-06-08",279.56
"2005-06-09",286.31
"2005-06-10",282.5
"2005-06-13",282.75
"2005-06-14",278.35
"2005-06-15",274.8
"2005-06-16",277.44
"2005-06-17",280.3
"2005-06-20",286.7
"2005-06-21",287.84
"2005-06-22",289.3
"2005-06-23",289.71
"2005-06-24",297.25
"2005-06-27",304.1
"2005-06-28",302
"2005-06-29",292.72
"2005-06-30",294.15
"2005-07-01",291.25
"2005-07-05",295.71
"2005-07-06",291.52
"2005-07-07",295.54
