"","y1970","y2000"
"1",89700,359100
"2",118400,504500
"3",116400,477300
"4",122000,500400
"5",91500,433900
"6",102800,464800
"7",71700,395300
"8",71400,340700
"9",68200,297400
"10",71900,198600
"11",65100,225800
"12",59700,231500
"13",65200,241200
"14",52500,178500
"15",60000,163500
"16",66300,187500
"17",75100,187100
"18",58000,142000
"19",70700,245100
"20",53400,145500
"21",67100,206000
"22",42000,124400
"23",164400,609800
"24",104100,445500
"25",98900,414300
"26",72600,386400
"27",75700,328800
"28",68000,363700
"29",79900,332900
"30",80400,400600
"31",88100,283100
"32",78500,273500
"33",74000,301500
"34",66200,249500
"35",78600,261900
"36",74100,236500
"37",109100,514100
"38",79900,222200
"39",79200,208500
"40",59100,223000
"41",82300,204900
"42",82700,202100
"43",59900,183600
"44",64700,191600
"45",57200,160100
"46",51000,146500
"47",66300,158200
"48",58400,184100
"49",48400,149800
"50",49100,135600
"51",43300,133500
"52",42800,133500
"53",41300,110000
"54",43600,115000
"55",25500,64100
"56",94000,526900
"57",117800,486600
"58",112700,522200
"59",97500,482200
"60",91300,472200
"61",94500,443000
"62",84500,377100
"63",72700,363700
"64",80700,358600
"65",80200,312400
"66",69300,316400
"67",69200,304900
"68",73300,333000
"69",61600,299700
"70",80900,300300
"71",67300,293900
"72",63700,284400
"73",73300,311900
"74",59000,276900
"75",69600,266600
"76",69200,247000
"77",62600,255600
"78",56900,194800
"79",47800,213000
"80",73200,214800
"81",57000,214400
"82",59000,172100
"83",71700,218000
"84",68400,147900
"85",55600,164300
"86",65700,153600
"87",58600,144900
"88",66800,148900
"89",47100,144400
"90",50200,150900
"91",43400,127100
"92",53600,120600
"93",55400,136000
"94",43900,123200
"95",38900,115900
"96",30400,77400
"97",24200,51600
"98",139400,622400
"99",135500,578400
"100",121300,601000
"101",115600,542600
"102",102300,478100
"103",106000,443800
"104",81500,356000
"105",90900,421200
"106",100600,411700
"107",82200,348800
"108",99800,437300
"109",80700,339100
"110",97000,352100
"111",75000,313000
"112",73900,335300
"113",85900,344900
"114",78300,321200
"115",67500,298900
"116",69000,296800
"117",84500,318300
"118",78300,320300
"119",74700,299800
"120",84000,339500
"121",83300,337600
"122",76500,304300
"123",77000,303900
"124",75400,325600
"125",68600,293700
"126",61400,246600
"127",68500,290100
"128",73200,263900
"129",52400,260200
"130",92100,290200
"131",74200,248200
"132",74900,246800
"133",59500,236300
"134",67100,239200
"135",111000,354400
"136",65600,218100
"137",73000,205100
"138",54600,172200
"139",62800,237500
"140",62000,184100
"141",59800,187300
"142",63900,198900
"143",55400,178800
"144",54800,164500
"145",61500,168400
"146",50600,152200
"147",57000,157600
"148",48700,154000
"149",60200,161400
"150",47400,149400
"151",51900,159400
"152",55700,147100
"153",49500,154000
"154",50000,155200
"155",55100,142000
"156",63100,161500
"157",50100,145800
"158",42400,126200
"159",52600,167500
"160",28000,75700
"161",121700,581400
"162",106100,515000
"163",112300,556600
"164",124800,553900
"165",77000,436200
"166",154400,610500
"167",101100,483200
"168",91000,431100
"169",127900,446500
"170",74500,366000
"171",88800,415000
"172",77400,357900
"173",86800,373300
"174",91000,383200
"175",78700,362200
"176",81200,357300
"177",98000,374000
"178",78400,355100
"179",81100,327800
"180",88200,352500
"181",71700,339400
"182",90800,331600
"183",70500,331700
"184",67900,289100
"185",72700,297500
"186",73200,306900
"187",72100,287800
"188",73000,307800
"189",76400,303500
"190",67100,292200
"191",67800,262600
"192",82600,293000
"193",61500,264800
"194",68600,268800
"195",72100,254900
"196",73900,251400
"197",65500,251800
"198",68300,211400
"199",66200,249600
"200",61700,169200
"201",92600,205500
"202",60000,177400
"203",55900,176100
"204",61900,159000
"205",64800,171500
"206",75200,184200
"207",57900,167300
"208",69000,197100
"209",40000,156400
"210",47100,146300
"211",44000,130200
"212",52900,138500
"213",43200,140600
"214",52900,132100
"215",50400,153000
"216",37500,105100
"217",39000,97000
"218",49100,139500
"219",30400,80900
"220",161500,1085000
"221",140500,682800
"222",101300,520500
"223",135800,561100
"224",161500,639600
"225",113200,507200
"226",123800,469700
"227",97700,430300
"228",83700,448400
"229",98100,431200
"230",94700,376100
"231",82000,435200
"232",124400,440300
"233",76100,385500
"234",69900,344700
"235",90700,381100
"236",81800,337100
"237",92000,345900
"238",66600,296700
"239",62900,306100
"240",65500,295300
"241",69200,292000
"242",81700,286000
"243",76600,285400
"244",73500,275400
"245",74200,298000
"246",78700,281100
"247",75700,266200
"248",86200,260800
"249",73200,276300
"250",78900,305800
"251",65600,238700
"252",59600,273100
"253",59900,240500
"254",63800,195500
"255",66200,178800
"256",69600,189200
"257",63400,170800
"258",64900,185000
"259",53500,185100
"260",61200,159700
"261",50800,152300
"262",67400,183900
"263",60600,162000
"264",54300,133000
"265",53900,120000
"266",39700,109900
"267",48000,162200
"268",25200,56500
"269",19000,48900
"270",101900,506000
"271",96700,435300
"272",110000,412000
"273",110000,575500
"274",93100,599300
"275",75400,332900
"276",66100,298300
"277",67900,297500
"278",79100,317500
"279",64100,297300
"280",68600,292600
"281",72800,286700
"282",75200,294400
"283",81700,327400
"284",81700,251300
"285",74200,203600
"286",57400,197100
"287",67800,296900
"288",59800,173800
"289",60600,167400
"290",60100,184700
"291",61000,207900
"292",59500,153900
"293",58100,152200
"294",55900,152400
"295",44100,153900
"296",49400,155100
"297",57600,140200
"298",91600,467300
"299",134500,577400
"300",163200,581500
"301",88200,471000
"302",1e+05,407700
"303",74900,348400
"304",74700,344500
"305",80500,336700
"306",80100,338100
"307",75500,324600
"308",75300,308700
"309",79400,325600
"310",65400,335900
"311",66900,310200
"312",98300,308300
"313",67300,288700
"314",96900,288600
"315",63500,279600
"316",64600,275300
"317",63200,217000
"318",78300,248500
"319",59600,293200
"320",61900,224700
"321",57000,214200
"322",74000,194700
"323",78900,209500
"324",62000,186800
"325",46800,159300
"326",69500,208400
"327",62500,242700
"328",66900,147400
"329",45100,140300
"330",47600,134600
"331",48100,149500
"332",28500,84800
"333",26700,68600
"334",19200,162400
"335",61400,173700
"336",104900,613300
"337",113300,624500
"338",119600,501600
"339",92400,440500
"340",106200,405300
"341",79300,512000
"342",96600,386100
"343",74200,320400
"344",67400,307900
"345",72600,312800
"346",77900,293200
"347",70300,295100
"348",84600,276800
"349",72200,216600
"350",61200,233000
"351",56900,222100
"352",61400,198400
"353",63400,171100
"354",69100,167900
"355",56200,157400
"356",56700,140500
"357",54300,148700
"358",62200,164400
"359",47600,127400
"360",52000,131600
"361",49100,135100
"362",41800,122600
"363",50400,122800
"364",43100,115000
"365",35200,113100
"366",34500,76700
"367",34500,84800
"368",24400,50100
"369",100700,453400
"370",116500,487000
"371",77400,324700
"372",75600,306000
"373",72900,329200
"374",66100,324100
"375",69100,306000
"376",75100,228100
"377",67400,262400
"378",62300,226400
"379",64400,294900
"380",52500,174500
"381",72200,174400
"382",65800,153700
"383",46700,157300
"384",53000,148600
"385",37000,105200
"386",30400,75900
"387",91000,481600
"388",108900,481000
"389",71200,336300
"390",83900,357900
"391",112000,537200
"392",81000,332100
"393",70900,306600
"394",72700,307400
"395",77900,337100
"396",84800,263600
"397",76800,300400
"398",63500,234300
"399",66600,187300
"400",66500,153500
"401",47900,145100
"402",48600,142800
"403",45800,153500
"404",30900,81700
"405",28000,75700
"406",79500,355100
"407",91000,255800
"408",94800,240700
"409",60300,164500
"410",74600,188600
"411",58700,136500
"412",46700,145400
"413",97000,520200
"414",76800,335700
"415",72400,342600
"416",86000,354500
"417",72500,336700
"418",89300,344800
"419",87800,329200
"420",76000,339000
"421",93200,338000
"422",71900,298900
"423",65000,328900
"424",94700,277200
"425",67000,305700
"426",71300,272300
"427",87000,244100
"428",59200,241900
"429",69000,237800
"430",55300,212700
"431",59700,207400
"432",73400,192100
"433",75000,211800
"434",47500,153500
"435",69600,177000
"436",55300,159900
"437",55000,143700
"438",49100,147200
"439",49100,144700
"440",55500,139000
"441",54700,126500
"442",44200,111400
"443",45800,111200
"444",31500,71200
"445",24400,51800
"446",14900,38200
"447",92400,516500
"448",102100,441700
"449",87300,480300
"450",70900,299800
