"","x"
"1",72
"2",75
"3",77
"4",77
"5",81
"6",82
"7",83
"8",84
"9",84
"10",86
"11",86
"12",87
"13",88
"14",88
"15",88
"16",88
"17",89
"18",89
"19",90
"20",91
"21",91
"22",92
"23",92
"24",93
"25",93
"26",93
"27",94
"28",94
"29",95
"30",95
"31",96
"32",96
"33",96
"34",96
"35",96
"36",96
"37",97
"38",97
"39",97
"40",97
"41",98
"42",98
"43",99
"44",100
"45",100
"46",100
"47",100
"48",100
"49",100
"50",101
"51",101
"52",101
"53",101
"54",101
"55",102
"56",102
"57",102
"58",103
"59",103
"60",104
"61",104
"62",105
"63",105
"64",106
"65",106
"66",106
"67",107
"68",107
"69",108
"70",108
"71",108
"72",108
"73",109
"74",109
"75",109
"76",110
"77",110
"78",111
"79",111
"80",112
"81",113
"82",114
"83",114
"84",114
"85",115
"86",115
"87",116
"88",116
"89",116
"90",117
"91",117
"92",118
"93",122
"94",122
"95",123
"96",123
"97",124
"98",125
"99",125
"100",130
