"","x"
"1",54
"2",92
"3",94
"4",76
"5",0
"6",44
"7",10
"8",78
"9",16
"10",74
"11",86
"12",20
"13",24
"14",92
"15",92
"16",98
"17",99
"18",98
"19",90
"20",94
"21",96
"22",0
"23",28
"24",10
"25",0
"26",4
"27",2
"28",24
"29",99
"30",0
"31",16
"32",99
"33",14
"34",20
"35",82
"36",0
"37",52
"38",26
"39",88
"40",30
"41",36
"42",40
"43",86
"44",54
"45",44
"46",98
"47",48
"48",28
"49",0
"50",99
"51",36
"52",74
"53",60
"54",84
"55",76
"56",90
"57",42
"58",12
"59",36
"60",66
"61",70
"62",60
"63",2
"64",14
"65",66
"66",10
"67",4
"68",99
"69",4
"70",34
"71",16
"72",58
"73",70
"74",90
"75",76
"76",60
"77",4
"78",88
"79",46
"80",96
"81",26
"82",86
"83",32
"84",70
"85",36
"86",12
"87",99
"88",88
"89",22
"90",50
"91",42
"92",10
"93",99
"94",6
"95",48
"96",88
"97",78
"98",10
"99",4
"100",92
"101",0
"102",20
"103",66
"104",6
"105",18
"106",90
"107",38
"108",66
"109",70
"110",0
"111",8
"112",32
"113",12
"114",44
"115",94
"116",98
"117",0
"118",98
"119",2
"120",20
"121",52
"122",99
"123",68
"124",8
"125",0
"126",66
"127",4
"128",16
"129",24
"130",40
"131",2
"132",99
"133",6
"134",94
"135",0
"136",8
"137",10
"138",96
"139",98
"140",48
"141",14
"142",88
"143",74
"144",84
"145",10
"146",98
"147",36
"148",20
"149",99
"150",26
"151",99
"152",80
"153",6
"154",0
"155",94
"156",14
"157",10
"158",84
"159",0
"160",24
"161",72
"162",56
"163",2
"164",0
"165",16
"166",14
"167",14
"168",56
"169",62
"170",46
"171",0
"172",96
"173",58
"174",94
"175",84
"176",84
"177",48
"178",96
"179",4
"180",92
"181",80
"182",90
"183",2
"184",68
"185",6
"186",2
"187",84
"188",86
"189",12
"190",94
"191",92
"192",68
"193",60
"194",99
"195",99
"196",50
"197",80
"198",94
"199",99
"200",2
