"","x"
"1",16763
"2",10489
"3",17693
"4",14268
"5",442
"6",4220
"7",527
"8",4230
"9",354
"10",42873
"11",19664
"12",7538
"13",7504
"14",18384
"15",615
"16",38534
"17",1880
"18",10072
"19",8528
"20",392131
"21",21587
"22",4591
"23",24703
"24",1987
"25",1736
"26",9847
"27",483
"28",692
"29",22656
"30",314
"31",19631
"32",28282
"33",4897
"34",460981
"35",4440
"36",18630
"37",308
"38",15362
"39",15307
"40",9888
"41",1685
"42",10282
"43",70130
"44",16889
"45",15158
"46",7301
"47",48834
"48",628
"49",1614
"50",402
"51",450
"52",375354
"53",38073
"54",25042
"55",1727
"56",402
"57",10871
"58",3282
"59",6978
"60",445
"61",674
"62",1881
"63",8148
"64",2797
"65",2069
"66",1582
"67",605
"68",9385
"69",414
"70",2573
"71",624
"72",3527
"73",7358
"74",17797
"75",24505
"76",31911
"77",563
"78",10151
"79",2702
"80",4820
"81",4019
"82",3281
"83",690
"84",11906
"85",29720
"86",1038
"87",2221
"88",5771
"89",8146
"90",1735
"91",686
"92",37738
"93",6841
"94",16889
"95",6356
"96",7489
"97",2065
"98",5530
"99",18424
"100",20006
"101",1398
"102",1781
"103",4820
"104",6222
"105",467
"106",298867
"107",14096
"108",3123
"109",5015
"110",4046
"111",3695
"112",6017
"113",758
"114",27819
"115",93871
"116",2563
"117",2737
"118",42625
"119",1412
"120",1376
"121",7576
"122",2293
"123",254214
"124",509
"125",13259
"126",11932
"127",2226
"128",6293
"129",5700
"130",1852
"131",5596
"132",16130
"133",1409
"134",4526
"135",14263
"136",9431
"137",6112
"138",1265
"139",597359
"140",1442
"141",8602
"142",2223
"143",489
"144",1376
"145",5967
"146",7557
"147",4839
"148",10917
"149",8128
"150",36480
"151",22002
"152",62284
"153",1992
"154",39665
"155",18322
"156",369
"157",2672
"158",16574
"159",479101
"160",7284
"161",5549
"162",6445
"163",8141
"164",512
"165",8154
"166",299589
"167",495
"168",3116
"169",19706
"170",2115
"171",6162
"172",1263
"173",12228
"174",126227
"175",527
"176",7496
"177",2513
"178",473463
"179",1310
"180",42334
"181",4195
"182",20578
"183",3838
"184",2020
"185",7808
"186",426
"187",566229
"188",1671
"189",9884
"190",6060
"191",609
"192",4137
"193",1763
"194",3231
"195",70241
"196",570
"197",59629
"198",1891
"199",157730
"200",4165
"201",770
"202",24439
"203",24665
"204",26693
"205",6597
"206",2276
"207",482
"208",1434
"209",2034
"210",1024
"211",4200
"212",3363
"213",5072
"214",569
"215",69074
"216",407251
"217",5991
"218",3689
"219",77341
"220",604
"221",95333
"222",406155
"223",12882
"224",1674
"225",5192
"226",25612
"227",19125
"228",7637
"229",26911
"230",19747
"231",44142
"232",365
"233",64919
"234",7378
"235",12336
"236",17940
"237",362402
"238",4135
"239",312308
"240",13206
"241",1530
"242",1998
"243",8883
"244",472
"245",5936
"246",777
"247",15017
"248",25518
"249",1230
"250",278
