"","Previous","Movie","Distributor","Genre","Gross","Change","Theaters","TotalGross","Days","weekend"
"1",2,"True Grit","Paramount Pictures","Western",14605135,-40,3124,110035157,"19","2011-01-07"
"2",1,"Little Fockers","Universal","Comedy",13487245,-48,3675,123687760,"19","2011-01-07"
"3",NA,"Season of the Witch","Relativity","Thriller/Suspense",10612375,NA,2816,10612375,"3","2011-01-07"
"4",3,"Tron: Legacy","Walt Disney","Adventure",10090002,-46,3013,148212420,"24","2011-01-07"
"5",9,"Black Swan","Fox Searchlight","Thriller/Suspense",8113011,-9,1584,61218504,"38","2011-01-07"
"6",44,"Country Strong","Sony Pictures","Drama",7326165,17551,1424,7463454,"19","2011-01-07"
"7",6,"The Fighter","Paramount Pictures","Drama",7001504,-30,2528,57845946,"31","2011-01-07"
"8",4,"Yogi Bear 3D","Warner Bros.","Adventure",6641250,-46,3288,75436771,"24","2011-01-07"
"9",10,"The King's Speech","Weinstein Co.","Drama",6414407,-18,758,32896665,"45","2011-01-07"
"10",7,"Tangled","Walt Disney","Adventure",5111098,-48,2383,175779496,"47","2011-01-07"
"11",5,"The Chronicles of Narnia: The Voyage of the Dawn Treader","20th Century Fox","Adventure",4601403,-55,2814,94532196,"31","2011-01-07"
"12",8,"Gulliver's Travels","20th Century Fox","Comedy",4588731,-51,2964,34448321,"19","2011-01-07"
"13",11,"The Tourist","Sony Pictures","Thriller/Suspense",3766574,-43,2442,61157944,"31","2011-01-07"
"14",12,"Harry Potter and the Deathly Hallows: Part I","Warner Bros.","Adventure",2353398,-49,1507,287661770,"52","2011-01-07"
"15",13,"How Do You Know?","Sony Pictures","Romantic Comedy",1876869,-59,1902,28833657,"24","2011-01-07"
"16",25,"Blue Valentine","Weinstein Co.","Drama",704339,264,40,1144584,"12","2011-01-07"
"17",16,"The Social Network","Sony Pictures","Drama",653209,41,603,94077470,"101","2011-01-07"
"18",15,"Unstoppable","20th Century Fox","Action",342784,-35,398,80023247,"59","2011-01-07"
"19",22,"Love and Other Drugs","20th Century Fox","Drama",290028,41,212,31863172,"47","2011-01-07"
"20",14,"Megamind","Paramount Pictures","Adventure",274872,-56,375,144674384,"66","2011-01-07"
"21",17,"Burlesque","Sony Pictures","Drama",256319,-42,228,38239917,"47","2011-01-07"
"22",18,"Due Date","Warner Bros.","Comedy",255304,-40,244,99652532,"66","2011-01-07"
"23",NA,"No One Killed Jessica","UTV Communications","Drama",227473,NA,48,227473,"3","2011-01-07"
"24",24,"I Love You Phillip Morris","Roadside Attractions","Comedy",217276,10,100,1435480,"38","2011-01-07"
"25",20,"127 Hours","Fox Searchlight","Drama",216964,-24,88,10824599,"66","2011-01-07"
"26",19,"Red","Summit Entertainment","Action",199992,-31,261,89842937,"87","2011-01-07"
"27",29,"Somewhere","Focus Features","Drama",163318,18,17,663989,"19","2011-01-07"
"28",36,"Casino Jack","Samuel Goldwyn Films","Thriller/Suspense",156393,95,52,425363,"24","2011-01-07"
