"","Male","Female"
"Under 1 year 176",NA,155
"1 year",191,188
"2 years",236,176
"3 years",181,187
"4 years",204,188
"5 years",175,180
"6 years",185,174
"7 years",197,201
"8 years",208,180
"9 years",188,203
"10 years",213,186
"11 years",188,204
"12 years",211,196
"13 years",194,194
"14 years",161,169
"15 years",191,171
"16 years",133,164
"17 years",169,176
"18 years",145,120
"19 years",83,92
"20 years",92,83
"21 years",89,92
"22 years",76,100
"23 years",103,82
"24 years",91,97
"25 years",95,92
"26 years",78,81
"27 years",101,107
"28 years",92,123
"29 years",143,144
"30 years",145,148
"31 years",142,173
"32 years",142,178
"33 years",147,185
"34 years",189,219
"35 years",192,209
"36 years",193,259
"37 years",191,235
"38 years",211,224
"39 years",203,273
"40 years",222,229
"41 years",220,231
"42 years",231,269
"43 years",201,249
"44 years",214,230
"45 years",224,235
"46 years",218,236
"47 years",202,242
"48 years",162,220
"49 years",197,198
"50 years",198,184
"51 years",163,174
"52 years",187,179
"53 years",167,169
"54 years",118,130
"55 years",124,119
"56 years",128,114
"57 years",113,122
"58 years",98,133
"59 years",73,101
"60 years",103,87
"61 years",79,75
"62 years",73,79
"63 years",57,94
"64 years",57,98
"65 years",62,63
"66 years",57,66
"67 years",56,74
"68 years",56,77
"69 years",66,72
"70 years",55,79
"71 years",65,65
"72 years",53,52
"73 years",46,74
"74 years",68,68
"75 years",45,83
"76 years",44,60
"77 years",57,78
"78 years",62,71
"79 years",46,74
"80 years",38,74
"81 years",28,71
"82 years",41,62
"83 years",35,59
"84 years",27,56
"85 years",31,41
"86 years",23,48
"87 years",19,40
"88 years",13,33
"89 years",17,32
"90 years",15,32
"91 years",17,27
"92 years",6,15
"93 years",9,17
"94 years",2,10
"95 years",4,6
"96 years",1,9
"97 years",2,11
"98 years",2,3
"99 years",2,5
"100 to 104 years",4,8
"105 to 109 years",0,1
"110 years and over",0,0
