"","Year","Month","Day","Extent","Missing"
"1",1978,10,26,10.19591,0
"2",1978,10,28,10.34363,0
"3",1978,10,30,10.46621,0
"4",1978,11,1,10.65538,0
"5",1978,11,3,10.76997,0
"6",1978,11,5,10.96294,0
"7",1978,11,7,11.07076,0
"8",1978,11,9,11.17859,0
"9",1978,11,11,11.2864,0
"10",1978,11,13,11.43779,0
"11",1978,11,15,11.52824,0
"12",1978,11,17,11.68215,0
"13",1978,11,19,11.86471,0
"14",1978,11,21,12.05029,0
"15",1978,11,23,12.25625,0
"16",1978,11,25,12.42519,0
"17",1978,11,27,12.6346,0
"18",1978,11,29,12.62642,0
"19",1978,12,1,12.71966,0
"20",1978,12,3,12.65448,0
"21",1978,12,5,12.77376,0
"22",1978,12,7,13.03615,0
"23",1978,12,9,13.14394,0
"24",1978,12,11,13.42248,0
"25",1978,12,13,13.58004,0
"26",1978,12,15,13.6764,0
"27",1978,12,17,13.80165,0
"28",1978,12,19,13.87787,0
"29",1978,12,21,14.00945,0
"30",1978,12,23,14.21596,0
"31",1978,12,25,14.32445,0
"32",1978,12,27,14.46232,0
"33",1978,12,29,14.57284,0
"34",1978,12,31,14.65194,0
"35",1979,1,2,14.95904,0
"36",1979,1,4,14.89944,0
"37",1979,1,6,14.92329,0
"38",1979,1,8,14.95576,0
"39",1979,1,10,15.17692,0
"40",1979,1,12,15.28193,0
"41",1979,1,14,15.32217,0
"42",1979,1,16,15.48653,0
"43",1979,1,18,15.48689,0
"44",1979,1,20,15.63376,0
"45",1979,1,22,15.63594,0
"46",1979,1,24,15.69387,0
"47",1979,1,26,15.65395,0
"48",1979,1,28,15.72496,0
"49",1979,1,30,15.83591,0
"50",1979,2,1,15.77995,0
"51",1979,2,3,15.7908,0
"52",1979,2,5,15.75836,0
"53",1979,2,7,15.76163,0
"54",1979,2,9,15.96089,0
"55",1979,2,11,16.0739,0
"56",1979,2,13,16.25685,0
"57",1979,2,15,16.28561,0
"58",1979,2,17,16.29849,0
"59",1979,2,19,16.24753,0
"60",1979,2,21,16.18873,0
"61",1979,2,23,16.34118,0
"62",1979,2,25,16.53886,0
"63",1979,2,27,16.51357,0
"64",1979,3,1,16.56457,0
"65",1979,3,3,16.44007,0
"66",1979,3,5,16.53614,0
"67",1979,3,7,16.50202,0
"68",1979,3,9,16.49052,0
"69",1979,3,11,16.44775,0
"70",1979,3,13,16.36341,0
"71",1979,3,15,16.2734,0
"72",1979,3,17,16.4399,0
"73",1979,3,19,16.48191,0
"74",1979,3,21,16.29154,0
"75",1979,3,23,16.21461,0
"76",1979,3,25,16.21149,0
"77",1979,3,27,15.98979,0
"78",1979,3,29,15.7016,0
"79",1979,3,31,15.7537,0
"80",1979,4,2,15.58692,0
"81",1979,4,4,15.55875,0
"82",1979,4,6,15.63092,0
"83",1979,4,8,15.7216,0
"84",1979,4,10,15.68628,0
"85",1979,4,12,15.58667,0
"86",1979,4,14,15.43574,0
"87",1979,4,16,15.38905,0
"88",1979,4,18,15.42268,0
"89",1979,4,20,15.29253,0
"90",1979,4,22,15.22581,0
"91",1979,4,24,15.14942,0
"92",1979,4,26,15.09314,0
"93",1979,4,28,15.07414,0
"94",1979,4,30,14.92781,0
"95",1979,5,2,14.59904,0
"96",1979,5,4,14.48484,0
"97",1979,5,6,14.43827,0
"98",1979,5,8,14.32429,0
"99",1979,5,10,14.13808,0
"100",1979,5,12,14.01811,0
"101",1979,5,14,13.84395,0
"102",1979,5,16,13.87007,0
"103",1979,5,18,13.6907,0
"104",1979,5,20,13.54986,0
"105",1979,5,22,13.51408,0
"106",1979,5,24,13.36157,0
"107",1979,5,26,13.38589,0
"108",1979,5,28,13.31508,0
"109",1979,5,30,13.27718,0
"110",1979,6,1,13.10102,0
"111",1979,6,3,12.99345,0
"112",1979,6,5,12.8465,0
"113",1979,6,7,12.81954,0
"114",1979,6,9,12.87594,0
"115",1979,6,11,12.76418,0
"116",1979,6,13,12.70649,0
"117",1979,6,15,12.57629,0
"118",1979,6,17,12.5382,0
"119",1979,6,19,12.43842,0
"120",1979,6,21,12.40365,0
"121",1979,6,23,12.27401,0
"122",1979,6,25,12.14277,0
"123",1979,6,27,11.99681,0
"124",1979,6,29,11.85774,0
"125",1979,7,1,11.52547,0
"126",1979,7,3,11.36066,0
"127",1979,7,5,11.25018,0
"128",1979,7,7,10.9381,0
"129",1979,7,9,10.78828,0
