"","x"
"1",313
"2",311
"3",370
"4",359
"5",334
"6",296
"7",288
"8",274
"9",NA
"10",NA
"11",NA
"12",301
"13",284
"14",320
"15",394
"16",347
"17",332
"18",301
"19",280
"20",256
"21",NA
"22",NA
"23",NA
"24",NA
"25",NA
"26",305
"27",349
"28",378
"29",341
"30",328
"31",297
"32",NA
"33",NA
"34",NA
"35",NA
"36",NA
"37",NA
"38",302
"39",303
"40",340
"41",322
"42",298
"43",295
"44",NA
"45",NA
"46",NA
"47",NA
"48",NA
"49",287
"50",292
"51",345
"52",375
"53",318
"54",303
"55",304
"56",NA
"57",NA
"58",NA
"59",NA
"60",NA
"61",267
"62",307
"63",332
"64",343
"65",310
"66",297
"67",329
"68",NA
"69",NA
"70",NA
"71",NA
"72",NA
"73",NA
"74",322
"75",380
"76",376
"77",319
"78",302
"79",305
"80",287
"81",NA
"82",NA
"83",NA
"84",313
"85",NA
"86",300
"87",347
"88",350
"89",316
"90",300
"91",325
"92",303
"93",NA
"94",NA
"95",NA
"96",271
"97",NA
"98",308
"99",401
"100",356
"101",314
"102",294
"103",296
"104",NA
"105",NA
"106",NA
"107",NA
"108",NA
"109",NA
"110",273
"111",298
"112",335
"113",299
"114",289
"115",283
"116",286
"117",NA
"118",NA
"119",NA
"120",NA
"121",288
"122",307
"123",338
"124",344
"125",299
"126",284
"127",268
"128",NA
"129",NA
"130",NA
"131",NA
"132",NA
"133",NA
"134",313
"135",357
"136",333
"137",318
"138",285
"139",289
"140",279
"141",NA
"142",NA
"143",NA
"144",284
"145",279
"146",292
"147",385
"148",348
"149",311
"150",290
"151",280
"152",244
"153",NA
"154",NA
"155",NA
"156",NA
"157",285
"158",274
"159",297
"160",314
"161",305
"162",285
"163",268
"164",258
"165",NA
"166",NA
"167",NA
"168",307
"169",NA
"170",274
"171",355
"172",344
"173",317
"174",312
"175",274
"176",277
"177",NA
"178",NA
"179",NA
"180",NA
"181",278
"182",290
"183",373
"184",344
"185",315
"186",300
"187",300
"188",312
"189",NA
"190",NA
"191",NA
"192",304
"193",265
"194",295
"195",375
"196",349
"197",306
"198",293
"199",286
"200",277
"201",NA
"202",NA
"203",NA
"204",272
"205",263
"206",271
"207",326
"208",334
"209",307
"210",275
"211",262
"212",242
"213",NA
"214",NA
"215",NA
"216",NA
"217",244
"218",272
"219",337
"220",351
"221",320
"222",275
"223",279
"224",NA
"225",NA
"226",NA
"227",NA
"228",NA
"229",267
"230",303
"231",309
"232",338
"233",314
"234",272
"235",257
"236",NA
"237",NA
"238",NA
"239",NA
"240",NA
"241",265
"242",283
"243",326
"244",335
"245",318
"246",280
"247",275
"248",253
"249",NA
"250",NA
"251",NA
"252",290
"253",239
"254",251
"255",332
"256",360
"257",310
"258",305
"259",282
"260",253
"261",NA
"262",NA
"263",NA
"264",NA
"265",264
"266",284
"267",345
"268",337
"269",295
"270",283
"271",278
"272",283
"273",NA
"274",NA
"275",NA
"276",NA
"277",232
"278",263
"279",323
"280",352
"281",324
"282",292
"283",290
"284",NA
"285",NA
"286",NA
"287",NA
"288",328
"289",236
"290",226
"291",293
"292",340
"293",299
"294",280
"295",253
"296",NA
"297",NA
"298",NA
"299",NA
"300",NA
"301",241
"302",237
"303",285
"304",326
"305",290
"306",278
"307",260
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",210
"314",218
"315",268
"316",322
"317",308
"318",292
"319",278
"320",266
"321",NA
"322",NA
"323",NA
"324",NA
"325",228
"326",195
"327",289
"328",325
"329",301
"330",272
"331",273
"332",267
"333",NA
"334",NA
"335",NA
"336",NA
"337",215
"338",194
"339",248
"340",322
"341",301
"342",269
"343",263
"344",245
"345",NA
"346",NA
"347",NA
"348",NA
"349",217
"350",185
"351",215
"352",304
"353",286
"354",273
"355",247
"356",227
"357",NA
"358",NA
"359",NA
"360",253
"361",212
"362",233
"363",282
"364",309
"365",301
"366",278
"367",274
"368",274
"369",NA
"370",NA
"371",NA
"372",254
"373",182
"374",150
"375",188
"376",287
"377",286
"378",264
"379",271
"380",265
"381",NA
"382",NA
"383",NA
"384",242
"385",207
"386",216
"387",312
"388",323
"389",284
"390",281
"391",260
"392",274
"393",NA
"394",NA
"395",NA
"396",270
"397",186
"398",150
"399",255
"400",295
"401",290
"402",266
"403",254
"404",254
"405",NA
"406",NA
"407",NA
"408",259
"409",173
"410",173
"411",207
"412",246
"413",281
"414",257
"415",263
"416",233
"417",NA
"418",NA
"419",NA
"420",204
"421",163
"422",137
"423",232
"424",296
"425",271
"426",283
"427",281
"428",257
"429",NA
"430",NA
"431",NA
"432",185
"433",152
"434",147
"435",206
"436",270
"437",284
"438",275
"439",277
"440",256
"441",NA
"442",NA
"443",NA
"444",209
"445",167
"446",122
"447",179
"448",285
"449",278
"450",264
"451",255
"452",284
"453",NA
"454",NA
"455",NA
"456",197
"457",152
"458",126
"459",217
"460",316
"461",278
"462",269
"463",256
"464",254
"465",NA
"466",NA
"467",NA
"468",218
"469",160
"470",130
"471",164
"472",252
"473",261
"474",249
"475",246
"476",226
"477",NA
"478",NA
"479",NA
"480",173
"481",155
"482",148
"483",181
"484",260
"485",278
