"","x"
"1",0.00329570896474429
"2",0.00454239852440151
"3",0.00134991706533814
"4",0.00537121709411475
"5",0.000730288142893882
"6",0.0079389927734628
"7",0.000618973798471718
"8",0.0678289590975218
"9",0.0118366779949548
"10",0.000757055946290751
"11",0.041622105928118
"12",0.0549750430307496
"13",0.00124483523730713
"14",0.0119910490793834
"15",0.00609111954488948
"16",0.0020834481131859
"17",0.00164037057530947
"18",0.00784687425965098
"19",0.000992937768270652
"20",0.00321905970144008
"21",0.0119298697793821
"22",0.125744456124675
"23",0.00123973374046987
"24",0.0052303655647154
"25",0.00277236787860627
"26",0.00272072129143236
"27",0.00587884326542007
"28",0.00323946753941915
"29",0.0607477123616714
"30",0.0277212451146128
"31",0.00518466018712785
"32",0.00197699255718984
"33",0.0129629633566475
"34",0.00712896471271154
"35",0.0069694655771818
"36",0.0305683226841481
"37",0.00109094688919135
"38",0.0219024030285118
"39",0.00194446848797512
"40",0.0025799307185631
"41",0.00673090120710293
"42",0.0181346221713417
"43",0.00217275478486826
"44",0.0115980875173999
"45",0.00308339613353465
"46",0.00403282500492438
"47",0.00152274554821054
"48",0.0389437874357821
"49",0.00339400443309941
"50",0.0182083963623686
"51",0.00156923759981046
"52",0.0017217864937332
"53",0.00197021133595406
"54",0.007902962427107
"55",0.00492599286813152
"56",0.00891050391082835
"57",0.0115364574608523
"58",0.0240510045775621
"59",0.000934210427274613
"60",0.0206367804632673
"61",0.00855260327626969
"62",0.00684037642366259
"63",0.0262958708555988
"64",0.00312158285298964
"65",0.00408176143060901
"66",0.0104582401230174
"67",0.081138206982183
"68",0.00391902378583237
"69",0.00321968167176603
"70",0.0551593491536542
"71",0.0160465371635719
"72",0.00195343349333347
"73",0.0426852283841057
"74",0.00291525616466009
"75",0.00744903508080417
"76",0.00546075649211175
"77",0.0213064377898433
"78",0.00791746456905549
"79",0.0432410779289461
"80",0.0084867734925761
"81",0.021604636737093
"82",0.00526752219955328
"83",0.00484996624177438
