"","x"
"1",0.4670000076
"2",0.4300000072
"3",0.1920000017
"4",0.1920000017
"5",0.2930000126
"6",0.1599999964
"7",0.1640000045
"8",0.126000002
"9",0.3280000091
"10",0.202000007
"11",0.2820000052
"12",0.3280000091
"13",0.2469999939
"14",0.1319999993
"15",0.1379999965
"16",0.2240000069
"17",0.5120000243
"18",0.2210000008
"19",0.2520000041
"20",0.1930000037
"21",0.2630000114
"22",0.1860000044
"23",0.3459999859
"24",0.2189999968
"25",0.1770000011
"26",0.3490000069
"27",0.2720000148
"28",0.2450000048
"29",0.2129999995
"30",0.1969999969
"31",0.2290000021
"32",0.2450000048
"33",0.2099999934
"34",0.2809999883
"35",0.174999997
"36",0.2730000019
"37",0.4390000105
"38",0.4709999859
"39",0.451000005
"40",0.2370000035
"41",0.3129999936
"42",0.1360000074
"43",0.2450000048
"44",0.3910000026
"45",0.3490000069
"46",0.1580000073
"47",0.2520000041
"48",0.4160000086
"49",0.2319999933
"50",0.1829999983
"51",0.2540000081
"52",0.1949999928
"53",0.1410000026
"54",0.1509999931
"55",0.07299999893
"56",0.3000000119
"57",0.2310000062
"58",0.07500000298
"59",0.2080000043
"60",0.2669999897
"61",0.1870000064
"62",0.2440000027
"63",0.2450000048
"64",0.2310000062
"65",0.1669999957
"66",0.3370000124
"67",0.2509999871
"68",0.2090000063
"69",0.1809999943
"70",0.4110000134
"71",0.1909999996
"72",0.2879999876
"73",0.2800000012
"74",0.1190000027
"75",0.3939999938
"76",0.4429999888
"77",0.4230000079
"78",0.5339999795
"79",0.3930000067
"80",0.2730000019
"81",0.1490000039
"82",0.224999994
"83",0.1589999944
"84",0.1700000018
"85",0.3289999962
"86",0.1829999983
"87",0.2619999945
"88",0.25
"89",0.1790000051
"90",0.3289999962
"91",0.2529999912
"92",0.2700000107
"93",0.3100000024
"94",0.3210000098
"95",0.3330000043
"96",0.2840000093
"97",0.3799999952
"98",0.2220000029
"99",0.1780000031
"100",0.2649999857
"101",0.2890000045
"102",0.199000001
"103",0.3089999855
"104",0.2790000141
"105",0.1940000057
"106",0.2029999942
"107",0.1389999986
"108",0.1620000005
"109",0.2509999871
"110",0.6190000176
"111",0.3429999948
"112",0.1550000012
"113",0.3400000036
"114",0.3319999874
"115",0.4120000005
"116",0.2179999948
"117",0.3039999902
"118",0.2610000074
"119",0.2060000002
"120",0.2310000062
"121",0.1819999963
"122",0.2669999897
"123",0.1979999989
"124",0.1909999996
"125",0.2579999864
"126",0.1790000051
"127",0.1969999969
"128",0.1879999936
"129",0.202000007
"130",0.150000006
"131",0.201000005
"132",0.2549999952
"133",0.2930000126
"134",0.2549999952
"135",0.1889999956
"136",0.4140000045
"137",0.2919999957
"138",0.2529999912
"139",0.1679999977
"140",0.2949999869
"141",0.2150000036
"142",0.2129999995
"143",0.2669999897
"144",0.2160000056
"145",0.2639999986
"146",0.1379999965
"147",0.2389999926
"148",0.2879999876
"149",0.3109999895
"150",0.4140000045
"151",0.4620000124
"152",0.3610000014
"153",0.6230000257
"154",0.199000001
"155",0.2150000036
"156",0.3210000098
"157",0.2730000019
"158",0.2590000033
"159",0.2060000002
"160",0.3759999871
"161",0.2280000001
"162",0.1550000012
"163",0.1860000044
"164",0.09700000286
"165",0.1790000051
"166",0.173999995
"167",0.3860000074
"168",0.3930000067
"169",0.1979999989
"170",0.2430000007
"171",0.326000005
"172",0.25
"173",0.5899999738
"174",0.4609999955
"175",0.3610000014
"176",0.3210000098
"177",0.2360000014
"178",0.1389999986
"179",0.3160000145
"180",0.3129999936
"181",0.2630000114
"182",0.1800000072
"183",0.1840000004
"184",0.3540000021
"185",0.2639999986
"186",0.2689999938
"187",0.1710000038
"188",0.3589999974
"189",0.3379999995
"190",0.1630000025
