"","description","calories","protein","carbohydrates","sugar","sodium","fat_sat","fat_mono","fat_poly","cholestorol"
"5530","CAKE,SNACK CAKES,CREME-FILLED,CHOC W/ FRSTNG",399,3.63,60.31,37.76,332,4.884,8.525,1.822,0
"5531","CAKE,SNACK CAKES,CREME-FILLED,SPONGE",374,3.47,64.03,37.3,470,4.139,4.906,1.86,41
"5618","CRACKERS,STD SNACK-TYPE,REG",510,6.75,61.46,8.46,705,5.897,6.768,12.464,0
"5619","CRACKERS,STD SNACK-TYPE,SNDWCH,W/CHS FILLING",477,9.3,61.7,3.18,978,6.125,11.254,2.567,2
"5620","CRACKERS,STD SNACK-TYPE,SNDWCH,W/PNUT BUTTER FILLING",494,11.47,58.38,10.5,801,4.913,13.776,4.655,0
"5782","CRACKERS,STD SNACK-TYPE,REG,LO SALT",502,7.4,61,1.79,216,3.776,10.64,9.545,0
"5868","NABISCO,NABISCO SNACKWELL'S FAT FREE DEVIL'S FD COOKIE CAKES",305,5,74.25,43.38,174,0.427,0.246,0.196,0
"5898","CRACKERS,SNACK,GOYA CRACKERS",433,14.25,64.35,2.35,665,6.323,4.697,1.536,NA
"5942","SNACKS,CORN-BASED,EXTRUDED,ONION-FLAVOR",499,7.7,65.1,4.83,950,4.34,13.36,3.14,0
"5958","SNACKS,GENERAL MILLS,CHEX MIX,TRADITIONAL FLAVOR",424,8.83,74.77,4.85,741,1.499,2.921,4.473,NA
"5960","SNACKS,POPCORN,OIL-POPPED,MICROWAVE,REG FLAVOR,NO TRANS FAT",583,7.29,45.06,0.46,679,6.82,9.809,23.191,0
"5972","SNACKS,M&M MARS,COMBOS SNACKS CHEDDAR CHS PRETZEL",463,9.85,66.5,17.6,1117,9.656,3.806,1.354,5
"5973","SNACKS,PRETZELS,HARD,WHOLE-WHEAT INCL BOTH SALTED & UNSALTED",362,11.1,81.3,NA,203,0.56,1.03,0.83,0
"5977","SNACKS,TORTILLA CHIPS,PLN,WHITE CORN,SALTED",473,7.04,67.52,0.8,325,3.127,6.208,9.838,0
"5978","SNACKS,TORTILLA CHIPS,NACHO CHS",514,8.15,61.74,3.79,615,3.936,7.067,13.624,NA
"5979","SNACKS,TORTILLA CHIPS,RANCH-FLAVOR",501,7.19,62.74,3.03,519,3.539,7.047,13.528,NA
"6031","CANDIES,MARS SNACKFOOD US,MARS ALMOND BAR",467,8.1,62.7,52.1,170,7.268,10.693,3.98,17
"6049","CANDIES,MARS SNACKFOOD US,MILKY WAY BAR",456,4.01,71.17,59.69,167,12.016,2.23,0.26,9
"6053","BAK CHOC,MARS SNACKFOOD US,M&M'S SEMISWT CHOC MINI BAK BITS",517,4.44,65.96,53.07,2,15.618,NA,NA,3
"6054","CANDIES,MARS SNACKFOOD US,M&M'S PNUT CHOC CANDIES",515,9.57,60.48,50.75,50,10.169,8.086,3.456,8
"6055","CANDIES,MARS SNACKFOOD US,M&M'S MILK CHOC CANDIES",492,4.33,71.19,63.68,61,13.08,5.183,0.921,14
"6060","BAKING CHOC,MARS SNACKFOOD US,M&M'S MILK CHOC MINI BAK BITS",502,4.78,68.4,62.54,68,14.466,NA,NA,15
"6069","CANDIES,MARS SNACKFOOD US,SNICKERS BAR",491,7.53,61.51,50.47,239,9.069,7.875,3.014,13
"6070","CANDIES,MARS SNACKFOOD US,STARBURST FRUIT CHEWS,ORIG FRUIT",408,0.41,82.57,58.12,2,7.778,0,0,0
"6071","CANDIES,MARS SNACKFOOD US,M&M'S MINIS MILK CHOC CANDIES",502,4.78,68.4,62.54,68,14.466,NA,NA,15
"6072","CANDIES,MARS SNACKFOOD US,3 MUSKETEERS BAR",436,2.6,77.77,66.89,194,8.646,2.373,0.316,5
"6073","CANDIES,MARS SNACKFOOD US,TWIX CARAMEL COOKIE BARS",502,4.91,64.8,48.25,198,18.96,2.988,0.628,7
"6074","CANDIES,MARS SNACKFOOD US,TWIX PNUT BUTTER COOKIE BARS",536,9.18,54.15,36.13,226,15.758,12.317,3.407,6
"6148","CANDIES,MARS SNACKFOOD US,DOVE MILK CHOC",546,5.94,59.78,55.45,63,19.24,NA,NA,18
"6149","CANDIES,MARS SNACKFOOD US,DOVE DK CHOC",520,5.19,59.4,46.27,4,19.209,NA,NA,7
"6150","CANDIES,MARS SNACKFOOD US,MILKYWAYCARAML,MILKCHOCOV",463,4.28,68.49,58.65,273,13.157,NA,NA,20
"6151","CANDIES,MARS SNACKFOOD US,MILKY WAY CARML. DKCHOCCOV",458,3.82,67.56,54.08,246,13.814,NA,NA,17
"6156","SNACKS,GENERAL MILLS,BETTY CROCKER FRT RL UPS,BRY FLV,W/VT C",373,0.1,85.2,38.7,317,0.99,1.724,0.093,NA
"6159","SNACKS,FARLEY CANDY,FARLEY FRUIT SNACKS,W/VITAMINS A,C,&E",341,4.4,80.9,NA,36,NA,NA,NA,NA
"6160","SNACKS,SUNKIST,SUNKIST FRUIT ROLL,STRAWBERRY,W/VITMNS A,C,&E",342,0.6,82.7,NA,111,NA,NA,NA,NA
"6161","SNACKS,FRUIT LEATHER,PIECES,W/VIT C",373,0.1,85.2,NA,317,0.99,1.724,0.093,0
"6166","CANDIES,MARS SNACKFOOD US,M&M'S CRISPY CHOC CANDIES",475,4.28,72.4,58.94,136,11.651,NA,NA,12
"6169","CANDIES,MARS SNACKFOOD US,SNICKERS MUNCH BAR",536,15.25,43.64,30.87,358,8.819,NA,NA,24
"6174","CANDIES,MARS SNACKFOOD US,SNICKERS ALMOND BAR",472,5.4,64.67,53.93,156,8.534,NA,NA,13
"6177","CANDIES,MARS SNACKFOOD US,POP SNICKERS BITE SIZE CANDIES",480,7.15,61.07,51.69,224,9.891,NA,NA,13
"6178","CANDIES,MARS SNACKFOOD US,POP MILKY WAY BITE SIZE",463,3.3,71.85,61.08,146,8.889,NA,NA,11
"6179","CANDIES,MARS SNACK US,POP'ABLES 3 MUSKETEERS BITE SIZE",443,2.59,75.94,67,172,9.921,NA,NA,7
"6180","CANDIES,MARS SNACK US,STARBURST FRUIT CHEWS,FRT&CREM",408,0.41,82.43,57.98,2,7.931,NA,NA,0
"6183","CANDIES,MARS SNACKFOOD US,STARBURST FRUIT CHEWS,TROP",409,0.41,82.76,58.18,2,8.048,NA,NA,0
"6185","CANDIES,MARS SNACKFOOD US,STARBURST SOUR FRUIT CHEWS",400,0.39,79.73,56.1,89,7.52,NA,NA,0
"6194","CANDIES,MARS SNACKFOOD US,COCOAVIA CHOC BAR",539,5.81,62.99,39.19,7,15.703,NA,NA,0
"6195","CANDIES,MARS SNACK US,COCOAVIA BLUEBERRY & ALMOND CHOC BAR",525,6.35,60.37,38.99,8,13.07,NA,NA,0
"6196","CANDIES,MARS SNACKFOOD US,COCOAVIA CRISPY CHOC BAR",517,8.21,62.06,34.96,40,14.007,NA,NA,0
"6214","CANDIES,MARS SNACKFOOD US,SNICKERS CRUNCHER",488,6.86,62.85,46.54,189,12.703,NA,NA,9
"6218","CANDIES,MARS SNACKFOOD US,SKITTLES WILD BERRY BITE SIZE",402,0.19,90.76,75.92,15,4.115,NA,NA,0
"6223","CANDIES,MARS SNACKFOOD US,SKITTLES TROPICAL BITE SIZE CAND",405,0.19,90.77,75.76,15,NA,NA,NA,0
"6224","CANDIES,MARS SNACKFOOD US,SKITTLES SOURS ORIGINAL",401,0.18,91.02,73.16,14,3.765,NA,NA,0
"6225","CANDIES,MARS SNACKFOOD US,SKITTLES ORIGINAL BITE SIZE CAND",405,0.19,90.78,75.84,15,4.115,0,0,0
"6241","SNACKS,BF STKS,SMOKED",550,21.5,5.4,NA,1531,20.8,20.47,4.42,133
"6244","SNACK,POTATO CHIPS,MADE FROM DRIED POTATOES,PLN",559,4.45,52.02,1.14,529,9.492,7.048,13.594,0
"6247","SNACKS,RICE CAKES,BROWN RICE,CORN",385,8.4,81.2,NA,167,0.63,1.14,1.13,0
"6249","SNACKS,POTATO STKS",522,6.7,53.3,0.22,633,8.88,6.16,17.9,0
"6255","SNACKS,POTATO CHIPS,RED FAT",471,7.1,66.9,0.22,492,4.16,4.8,10.94,0
"6256","SNACKS,POTATO CHIPS,FAT-FREE,MADE W/OLESTRA",274,7.74,65,0,554,0.24,0.18,0.304,0
"6257","SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,RED FAT",445,8.7,71.6,NA,1003,2.91,8.95,2.1,3
"6260","SNACKS,GRANOLA BAR,FRUIT-FILLED,NONFAT",342,5.9,77.6,55.34,24,0.2,0.24,0.35,0
"6263","SNACKS,KELLOGG,KELLOGG'S RICE KRISPIES TREATS SQUARES",414,3.4,80.5,19.36,351,1.4,2.5,5.1,0
"6264","SNACKS,KELLOGG'S LOFAT GRANOLA BAR,CRUNCHY ALMD/BRN SUGAR",390,8,78,NA,291,1.1,1.8,4.5,0
"6265","SNACKS,M&M MARS,KUDOS WHL GRAIN BARS,CHOC CHIP",420,4.47,72.31,38.78,246,4.701,4.71,2.749,0
"6266","SNACKS,KELLOGG'S,NUTRI-GRAIN CRL BARS,FRUIT",324,4.69,69.54,30.84,315,1.6,2.2,4.8,1
"6267","SNACKS,TORTILLA CHIPS,LOFAT,MADE W/OLESTRA,NACHO CHS",318,8.44,65.22,2.82,705,1.054,1.379,1.211,2
"6268","SNACKS,POTATO CHIPS,FRM DRIED POTATOES,FAT-FREE,W/ OLESTRA",253,5.06,56,0.59,429,0.355,0.3,0.19,0
"6282","SNACKS,CORN-BASED,EXTRDD,PUFFS OR TWISTS,CHEESE-FLAVOR,UNENR",558,5.76,54.1,2.76,896,5.512,10.437,18.649,4
"6283","SNACKS,CORN-BASE,EXTRUD,CHIPS,BARBECUE-FLAVOR,W/ENR MASA FLR",523,7,56.2,NA,763,4.46,9.48,16.17,0
"6285","SNACKS,POPCORN,OIL-POPPED,WHITE POPCORN,SALT ADDED",500,9,57.2,NA,884,4.89,8.17,13.42,0
"6291","SNACKS,PRETZELS,HARD,PLN,MADE W/ ENR FLR,UNSALTED",381,9.1,79.2,2.21,250,0.75,1.36,1.22,0
"6302","SNACKS,TORTILLA CHIPS,NACHO-FLAVOR,MADE W/ENR MASA FLR",498,7.8,62.4,NA,708,4.9,15.09,3.54,3
"6332","CANDIES,MARS SNACKFOOD US,COCOAVIA CHOC COVERED ALMONDS",573,9.51,50.22,26.92,9,11.745,NA,NA,0
"6351","CANDIES,FRUIT SNACKS,W/ HI VIT C",352,0.08,87.97,68.18,23,0,0,0,0
"7507","SNACKS,POPCORN,UNPOPPED KRNLS",375,10.87,74,0.91,7,0.64,0.992,2.476,NA
"7508","SNACKS,CANDY ROLLS,YOGURT-COVERED,FRUIT FLAV W/ HI VIT C",359,0.46,74.64,39.15,8,5.096,0.753,0.238,0
"7509","FORM BAR,MARS SNACK US,SNICKERSMARATHONCHEWCHOCPNUT BAR",396,24.29,47.24,32.86,462,4.728,NA,NA,4
"7511","FORM BAR,MARS SNACK US,SNICKERS MARATHON DOUBLE CHOC NUT BAR",343,22.35,52.47,22.67,333,4.847,NA,NA,4
