"","x"
"1",-0.7
"2",1.3
"3",0.1
"4",-0.9
"5",0.8
"6",1.6
"7",1.7
"8",1.4
"9",1.4
"10",1.5
"11",1.4
"12",0.9
"13",1.2
"14",1.1
"15",0.9
"16",1.1
"17",1.4
"18",1.2
"19",1.1
"20",1
"21",0
"22",1.9
"23",0.1
"24",0.9
"25",0.4
"26",-0.4
"27",-0.4
"28",0
"29",-1.1
"30",-0.4
"31",0.1
"32",-1.1
"33",-1
"34",-0.1
"35",-1.2
"36",-0.5
"37",-1.9
"38",-0.7
"39",-0.3
"40",0.1
"41",-1.3
"42",-0.3
"43",0.3
"44",0.7
"45",-0.4
"46",-0.4
"47",-0.6
"48",-0.8
"49",-0.9
"50",-1.5
"51",0.8
"52",0.2
"53",0.2
"54",-0.9
"55",-0.5
"56",-0.6
"57",0
"58",0.3
"59",0.9
"60",0.8
"61",0
"62",-0.2
"63",0.5
"64",0.9
"65",0.2
"66",-0.5
"67",0.4
"68",0.5
"69",0.7
"70",-0.1
"71",0.6
"72",0.7
"73",-0.4
"74",0.5
"75",-2.6
"76",1.1
"77",0.2
"78",-0.4
"79",0.1
"80",-0.3
"81",0
"82",-0.8
"83",0.7
"84",1.4
"85",1.7
"86",-0.5
"87",-0.4
"88",0
"89",1.2
"90",0.5
"91",-0.1
"92",0.3
"93",0.5
"94",0.9
"95",0.2
"96",0
"97",0.8
"98",0.3
"99",0.6
"100",0.9
"101",0
"102",-1.5
"103",-0.3
"104",-0.4
"105",-0.7
"106",-1.6
"107",-1
"108",-1.4
"109",-0.5
"110",-0.2
"111",0.6
"112",1.7
"113",-0.2
"114",0.7
"115",0.5
"116",1.4
"117",1.3
"118",1.3
"119",0
"120",-0.5
"121",-0.5
"122",0
"123",0.2
"124",-1.1
"125",0
"126",-1.5
"127",-2.3
"128",-1.3
"129",-1.4
"130",-1.2
"131",-1.8
"132",0
"133",-1.4
"134",-0.5
"135",-1.6
"136",-0.7
"137",-0.6
"138",0
"139",-0.1
"140",0.3
"141",-0.3
"142",-0.3
"143",-0.1
"144",-0.5
"145",1.5
"146",1.2
"147",0.8
"148",-0.2
"149",-0.4
"150",0.6
"151",0
"152",0.4
"153",0.5
"154",-0.2
"155",-0.7
"156",-0.7
"157",0.5
"158",0.8
"159",-0.5
"160",-0.3
"161",1.2
"162",1.4
"163",0.6
"164",-0.1
"165",-0.3
"166",-0.3
"167",-0.4
"168",0
"169",-1.4
"170",0.8
"171",-0.1
"172",-0.8
"173",-0.8
"174",-0.2
"175",-0.7
"176",-0.6
"177",-1
"178",-1.4
"179",-0.1
"180",0.3
"181",-1.2
"182",-1.2
"183",0
"184",-0.5
"185",0.1
"186",1.1
"187",-0.6
"188",0.3
"189",1.2
"190",0.8
"191",1.8
"192",1.8
"193",0.2
"194",1.4
"195",2
"196",2.6
"197",0.9
"198",0.2
"199",0.1
"200",1.4
"201",1.5
"202",1.8
"203",0.5
"204",0.1
"205",0.3
"206",0.6
"207",0.1
"208",-0.5
"209",-2.1
"210",-1.7
"211",-1.9
"212",-1.1
"213",-1.5
"214",-1.1
"215",-0.4
"216",-1.5
"217",-0.4
"218",-1.5
"219",0.2
"220",-0.4
"221",0.3
"222",1.2
"223",0.5
"224",1.2
"225",1.3
"226",0.6
"227",2.9
"228",1.7
"229",2.2
"230",1.5
"231",2.1
"232",1.3
"233",1.3
"234",0.1
"235",1.2
"236",0.5
"237",1.1
"238",0.8
"239",-0.4
"240",0
"241",-0.6
"242",0.4
"243",1.1
"244",1.5
"245",0.5
"246",1.7
"247",2.1
"248",2
"249",2.2
"250",1.7
"251",1.3
"252",2
"253",1.2
"254",1.2
"255",1.3
"256",0.2
"257",0.6
"258",-0.1
"259",-1.2
"260",-1.5
"261",-1.2
"262",0.2
"263",0.7
"264",-0.5
"265",-0.5
"266",0.8
"267",-1.2
"268",-1.3
"269",-1.1
"270",-2.3
"271",-1.5
"272",-1.4
"273",-0.9
"274",-1.4
"275",-1.6
"276",-1.3
"277",-0.5
"278",-2.6
"279",-0.8
"280",-0.9
"281",1.3
"282",0.4
"283",0.4
"284",0.1
"285",0
"286",-0.8
"287",-0.1
"288",-0.2
"289",-0.5
"290",0.6
"291",-0.5
"292",-0.7
"293",0.5
"294",0.6
"295",1.3
"296",-0.7
"297",0.1
"298",-0.4
"299",-0.6
"300",-0.9
"301",0.3
"302",0
"303",-1.1
"304",-1.7
"305",-0.3
"306",-0.7
"307",-0.2
"308",-0.1
"309",-0.5
"310",-0.3
"311",-0.5
"312",-0.2
"313",0.3
"314",-0.5
"315",-2
"316",-0.6
"317",0.8
"318",1.6
"319",0.8
"320",0.4
"321",0.3
"322",-0.7
"323",0.1
"324",0.4
"325",1
"326",0
"327",0
"328",-0.1
"329",-0.6
"330",-2.5
"331",-2
"332",-2.7
"333",-1.9
"334",-2.2
"335",-3.2
"336",-2.5
"337",-3.4
"338",-3.5
"339",-3.2
"340",-2.1
"341",0.9
"342",-0.5
"343",-0.9
"344",-0.4
"345",0.9
"346",0.3
"347",-0.1
"348",-0.1
"349",0
"350",0.4
"351",-0.8
"352",0.4
"353",0
"354",-1.2
"355",0
"356",0.1
"357",0.1
"358",-0.6
"359",0.3
"360",-0.3
"361",-0.5
"362",0.8
"363",0.2
"364",1.4
"365",-0.2
"366",-1.4
"367",-0.3
"368",0.7
"369",0
"370",-0.8
"371",-0.4
"372",0.1
"373",0.8
"374",-1.2
"375",-0.1
"376",0.1
"377",-0.6
"378",1
"379",0.1
"380",-0.9
"381",-0.5
"382",0.6
"383",-1.6
"384",-1.6
"385",-0.7
"386",-1.4
"387",-2
"388",-2.7
"389",-2
"390",-2.7
"391",-1.8
"392",-1.7
"393",-1.1
"394",-0.7
"395",-0.1
"396",-0.6
"397",-0.3
"398",-0.6
"399",0.1
"400",0
"401",1.1
"402",-0.3
"403",1.1
"404",1.4
"405",1.9
"406",1.5
"407",1.9
"408",1.1
"409",1.5
"410",1.1
"411",0.6
"412",1.6
"413",1.2
"414",0.5
"415",0.8
"416",-0.8
"417",0.6
"418",0.6
"419",-0.4
"420",-0.7
"421",-0.2
"422",-2.4
"423",-1.2
"424",0
"425",1.1
"426",0
"427",0.5
"428",-0.5
"429",-0.8
"430",0.1
"431",-0.7
"432",-0.4
"433",0.6
"434",-0.1
"435",-1.4
"436",-1
"437",-1.5
"438",-0.5
"439",-0.2
"440",-0.9
"441",-1.8
"442",-1.5
"443",-0.8
"444",-2.3
"445",-3.4
"446",-1.4
"447",-3
"448",-1.4
"449",0
"450",-1.2
"451",-0.8
"452",0
"453",0
"454",-1.9
"455",-0.9
"456",-1.1
