"","seq.1","seq.2","seq.3","sat.v","sat.m","letter.grade","num.grade"
"1528",80,47,76,440,450," B  ",3
"14586",74,76,81,410,480," B- ",2.7
"8295",84,85,90,610,590," D  ",1
"8446",85,88,68,300,520," A  ",4
"16685",81,75,66,550,560," A  ",4
"16398",81,71,67,460,400," C  ",2
"10083",68,54,72,410,430," D  ",1
"5621",65,80,65,480,460," C  ",2
"8238",65,43,34,480,510," A  ",4
"6735",89,65,65,360,380," WU ",0
"1185",79,74,32,390,500," B  ",3
"9037",77,85,69,500,520," C  ",2
"7918",74,81,81,530,590," D  ",1
"16908",69,71,78,590,550," A  ",4
"7438",36,70,69,270,390," A- ",3.7
"1478",67,75,43,460,470," F  ",0
"7627",68,65,37,450,450," A  ",4
"17660",75,62,67,330,520," A  ",4
"12154",69,65,71,530,430," F  ",0
"2859",46,65,67,430,380," C  ",2
"1302",87,66,74,440,440," B  ",3
"11157",86,68,40,510,540," P  ",NA
"6904",66,47,26,370,370," P  ",NA
"2159",98,89,80,330,480," W  ",0
"5937",71,77,76,390,430," P  ",NA
"5012",86,74,81,610,630," B+ ",NA
"2755",71,78,43,490,480," W  ",0
"1489",67,68,66,490,510," A  ",4
"16175",89,90,77,270,560," A  ",4
"9062",90,79,65,580,420," C+ ",NA
"6522",86,83,75,490,550," A- ",3.7
"9804",61,71,68,380,450," W  ",0
"10851",65,66,55,360,340," P  ",NA
"2050",78,75,88,340,510," C+ ",NA
"14890",85,78,83,410,420," C+ ",NA
"14207",84,65,76,470,500," A- ",3.7
"9605",78,77,57,560,550," D  ",1
"10645",80,54,46,510,450," P  ",NA
"1027",70,71,54,470,350," WU ",0
"2717",71,76,67,430,410," F  ",0
"369",59,53,48,330,440," P  ",NA
"1169",78,73,56,430,420," C  ",2
"3770",83,65,51,700,550," A  ",4
"5505",65,72,47,400,470," B- ",2.7
"7782",65,59,16,400,480," C  ",2
"1054",87,78,94,550,590," B- ",2.7
"12052",95,72,65,360,490," W  ",0
"9709",66,81,79,420,470," B- ",2.7
"9858",65,47,30,420,370," P  ",NA
"16747",70,68,47,510,540," D  ",1
"7751",72,75,53,510,470," B  ",3
"15000",82,84,66,380,560," B- ",2.7
"967",100,96,98,540,570," A  ",4
"1033",81,42,49,400,480," P  ",NA
"12997",72,67,77,410,440," W  ",0
"17118",72,76,81,430,480," B- ",2.7
"6537",84,57,67,530,520," F  ",0
"263",65,70,68,400,480," A  ",4
"1813",84,76,80,590,510," B  ",3
"12919",78,65,61,380,450," B- ",2.7
"17221",78,94,70,470,520," D  ",1
"7556",79,75,66,500,510," A- ",3.7
"6323",70,70,80,480,580," B- ",2.7
"15468",69,67,69,450,520," F  ",0
"4211",46,21,56,220,340," P  ",NA
"9216",98,87,86,480,540," B  ",3
"12424",80,65,41,460,400," B+ ",NA
"8709",81,65,66,540,500," W  ",0
"16243",75,30,40,350,360," P  ",NA
"14661",85,83,96,490,630," A- ",3.7
"8949",68,67,70,470,550," A- ",3.7
"78",69,73,70,400,490," C  ",2
"17316",95,82,73,550,520," A  ",4
"17771",71,65,73,360,520," D  ",1
"16074",80,72,65,500,420," C  ",2
"1731",65,65,58,350,410," F  ",0
"12560",91,70,76,400,510," A- ",3.7
"355",81,83,73,580,510," C+ ",NA
"2062",78,83,78,380,520," A- ",3.7
"3359",78,83,66,550,560," B  ",3
"14204",59,56,50,400,260," P  ",NA
"17741",91,71,88,430,620," A  ",4
"17754",76,72,26,450,520," B  ",3
"227",80,69,78,460,390," D  ",1
"4371",83,83,74,360,460," D  ",1
"922",90,87,88,505,580," B  ",3
"13513",65,75,48,470,610," P  ",NA
"4064",95,83,77,550,570," WU ",0
"8814",93,85,72,370,470," B+ ",NA
"17633",82,83,84,500,500," B  ",3
"16594",71,49,57,430,440," B+ ",NA
"8170",88,80,91,370,540," A  ",4
"4329",68,38,54,490,410," P  ",NA
"14807",76,79,62,400,540," A- ",3.7
"1578",65,72,54,520,570," B- ",2.7
"15194",66,53,54,510,550," A- ",3.7
"13453",84,84,70,550,490," C  ",2
"12762",43,32,72,430,430," F  ",0
"16036",74,78,57,310,400," C  ",2
"6649",66,62,76,400,430," A- ",3.7
"16653",94,78,57,280,550," D  ",1
"6858",84,89,98,430,540," D  ",1
"3085",85,75,68,360,520," A- ",3.7
"1905",96,97,98,550,580," A  ",4
"9739",65,54,65,360,390," F  ",0
"51",95,86,80,570,610," B+ ",NA
"5749",96,71,73,550,510," A  ",4
"5633",79,90,65,490,530," WU ",0
"14770",68,75,39,590,550," D  ",1
"11812",72,71,72,340,490," D  ",1
"3090",91,80,29,310,600," WU ",0
"4199",74,65,65,680,520," W  ",0
"8815",87,76,69,500,470," A  ",4
"1209",80,65,70,500,450," C+ ",NA
"8470",78,80,94,650,560," A  ",4
"2461",85,67,82,400,440," D  ",1
"4724",84,60,81,610,510," C+ ",NA
"6917",76,66,40,550,450," WU ",0
"2483",94,91,86,610,610," D  ",1
"10094",65,58,50,370,450," B- ",2.7
"14881",93,75,65,470,570," A  ",4
"6214",71,46,67,440,480," C  ",2
"13309",98,89,78,570,520," C+ ",NA
"14025",57,49,39,460,480," WU ",0
"17047",66,79,61,450,470," WU ",0
"940",65,74,65,460,460," A  ",4
"4613",79,58,48,490,440," P  ",NA
"1827",86,70,69,520,540," C  ",2
"10585",89,81,75,500,470," A  ",4
"17874",67,68,41,470,440," P  ",NA
"6460",69,40,43,310,320," P  ",NA
"6634",89,65,65,490,450," C  ",2
"9677",91,80,83,350,490," B  ",3
"17457",95,96,91,540,620," D  ",1
"6983",81,85,47,560,500," P  ",NA
"12581",95,83,84,370,510," A  ",4
"4447",76,69,20,380,400," F  ",0
"17516",98,99,91,590,560," B- ",2.7
"11677",98,97,82,570,540," C  ",2
"5217",68,76,61,340,490," INC",NA
"2515",94,91,78,600,560," A  ",4
"17371",85,65,51,370,450," W  ",0
"3865",71,74,55,510,440," A- ",3.7
"5559",80,65,56,480,430," C  ",2
"3116",98,95,100,590,590," D  ",1
"8046",88,71,82,370,500," A  ",4
"8902",86,76,82,490,430," B- ",2.7
"571",84,71,65,420,510," F  ",0
"13951",65,60,66,500,460," C+ ",NA
"9095",59,48,49,410,410," B+ ",NA
"1653",71,55,65,470,450," P  ",NA
"4254",74,72,69,500,470," WU ",0
"7759",68,52,88,440,420," P  ",NA
"9828",68,59,48,370,400," C  ",2
"1696",83,77,76,410,430," B+ ",NA
"15066",76,73,66,480,510," A  ",4
"10356",88,66,66,370,470," P  ",NA
"12143",98,77,82,560,520," D  ",1
"12429",66,72,65,470,320," B  ",3
"14258",82,88,80,240,460," B  ",3
