"","x"
"1",2.36
"2",2.48
"3",2.45
"4",2.38
"5",2.28
"6",2.2
"7",1.79
"8",1.67
"9",1.66
"10",1.41
"11",1.14
"12",1.13
"13",0.96
"14",0.85
"15",0.82
"16",0.84
"17",0.88
"18",1.03
"19",1.17
"20",1.14
"21",1.21
"22",1.39
"23",1.57
"24",1.59
"25",1.75
"26",1.9
"27",1.91
"28",2.02
"29",2.37
"30",2.36
"31",2.39
"32",2.48
"33",2.73
"34",2.58
"35",2.49
"36",2.61
"37",2.92
"38",2.94
"39",2.74
"40",2.76
"41",3.1
"42",3.35
"43",3.28
"44",3.44
"45",3.68
"46",3.37
"47",3.38
"48",3.42
"49",3.49
"50",3.48
"51",3.65
"52",3.81
"53",4.01
"54",4.07
"55",4.01
"56",3.57
"57",3.18
"58",2.65
"59",1.99
"60",1.84
"61",1.45
"62",1.37
"63",1.23
"64",1.61
"65",2.5
"66",3.05
"67",3.19
"68",3.1
"69",3.29
"70",3.36
"71",3.54
"72",3.61
"73",3.72
"74",3.96
"75",4.07
"76",4.39
"77",4.42
"78",5
"79",4.8
"80",4.81
"81",5.14
"82",5.03
"83",4.66
"84",4.02
"85",4.04
"86",4.21
"87",3.36
"88",3.2
"89",2.95
"90",3.07
"91",3.04
"92",3.08
"93",2.86
"94",2.81
"95",2.93
"96",2.88
"97",2.88
"98",2.87
"99",3.06
"100",2.92
"101",3.06
"102",3.06
"103",3.05
"104",3.07
"105",3.18
"106",3.28
"107",3.28
"108",3.06
"109",2.99
"110",3.03
"111",3.03
"112",3.29
"113",3.2
"114",3.06
"115",2.98
"116",3
"117",3.01
"118",3.04
"119",3.01
"120",3.03
"121",3.11
"122",3.12
"123",3.2
"124",3.48
"125",3.53
"126",3.57
"127",3.64
"128",3.74
"129",3.81
"130",3.79
"131",3.78
"132",3.91
"133",3.91
"134",3.84
"135",3.83
"136",3.72
"137",3.74
"138",3.84
"139",3.86
"140",3.91
"141",4.02
"142",3.94
"143",4.03
"144",4.06
"145",4.04
"146",4.03
"147",3.99
"148",3.98
"149",4.07
"150",4.2
"151",4.3
"152",4.37
"153",4.72
"154",4.88
"155",4.94
"156",4.97
"157",4.9
"158",4.93
"159",4.97
"160",5.17
"161",5.54
"162",5.82
"163",5.58
"164",5.54
"165",5.2
"166",4.75
"167",4.71
"168",4.35
"169",4.11
"170",4.15
"171",4.48
"172",5.01
"173",5.13
"174",5.24
"175",5.37
"176",5.61
"177",5.71
"178",5.43
"179",5.41
"180",5.58
"181",5.71
"182",6.14
"183",5.98
"184",5.65
"185",5.43
"186",5.45
"187",5.57
"188",5.75
"189",6.19
"190",6.34
"191",6.41
"192",6.34
"193",6.26
"194",6.42
"195",7.04
"196",7.6
"197",7.54
"198",7.82
"199",7.64
"200",7.89
"201",8.17
"202",8.1
"203",7.59
"204",6.97
"205",7.06
"206",7.75
"207",7.55
"208",7.1
"209",6.98
"210",6.73
"211",6.43
"212",5.51
"213",5
"214",4.57
"215",3.89
"216",3.69
"217",4.3
"218",5.04
"219",5.64
"220",6.04
"221",5.8
"222",5.41
"223",4.91
"224",4.67
"225",4.6
"226",4.28
"227",4.27
"228",4.67
"229",4.96
"230",4.64
"231",4.93
"232",4.96
"233",4.98
"234",5.52
"235",5.52
"236",5.27
"237",5.52
"238",5.89
"239",6.19
"240",6.85
"241",6.85
"242",6.89
"243",7.31
"244",8.39
"245",8.82
"246",8.31
"247",7.4
"248",7.57
"249",7.27
"250",7.42
"251",6.88
"252",7.76
"253",8.62
"254",8.78
"255",8.67
"256",8.8
"257",9.36
"258",8.87
"259",8.05
"260",7.66
"261",7.31
"262",6.83
"263",5.98
"264",6.11
"265",6.9
"266",6.39
"267",6.29
"268",7.11
"269",7.7
"270",7.75
"271",6.95
"272",6.49
"273",6.6
"274",5.81
"275",5.91
"276",6.21
"277",5.92
"278",6.4
"279",6.52
"280",6.2
"281",6
"282",5.84
"283",5.5
"284",5.29
"285",4.89
"286",5.29
"287",5.47
"288",5.5
"289",5.44
"290",5.84
"291",5.8
"292",5.94
"293",6.37
"294",6.53
"295",6.97
"296",6.95
"297",6.96
"298",7.28
"299",7.34
"300",7.31
"301",7.45
"302",7.82
"303",8.09
"304",8.39
"305",8.31
"306",8.64
"307",9.14
"308",10.01
"309",10.3
"310",10.41
"311",10.24
"312",10.25
"313",10.12
"314",10.12
"315",9.57
"316",9.64
"317",9.98
"318",10.84
"319",12.44
"320",12.39
"321",11.98
"322",12.06
"323",13.92
"324",15.82
"325",13.3
"326",9.39
"327",8.16
"328",8.65
"329",10.24
"330",11.52
"331",12.49
"332",14.15
"333",14.88
"334",14.08
"335",14.57
"336",13.71
"337",14.32
"338",16.2
"339",14.86
"340",15.72
"341",16.72
"342",16.52
"343",15.38
"344",12.41
"345",12.85
"346",14.32
"347",14.73
"348",13.95
"349",13.98
"350",13.34
"351",14.07
"352",13.24
"353",11.43
"354",10.85
"355",9.32
"356",9.16
"357",8.91
"358",8.62
"359",8.92
"360",9.04
"361",8.98
"362",8.9
"363",9.66
"364",10.2
"365",10.53
"366",10.16
"367",9.81
"368",9.94
"369",10.11
"370",9.9
