"","longitude","latitude","temperature","salinity"
"1",270.9187,25.7966,19.9725,28.1892
"2",270.9185,25.7676,19.9219,28.2066
"3",270.8409,25.6341,19.84,28.2006
"4",270.7115,25.5966,20.0156,28.2073
"5",270.6939,25.6895,20.0791,28.1989
"6",270.7689,25.7304,19.8795,28.2054
"7",270.8195,25.6003,19.8867,28.1977
"8",270.6966,25.456,19.8951,28.1862
"9",270.5082,25.528,19.812,28.1809
"10",270.5945,25.7419,19.7006,28.1846
"11",270.9099,25.6773,19.5378,28.1791
"12",271.0042,25.3878,19.5893,28.1788
"13",270.7747,25.1745,19.5449,28.1764
"14",270.5547,25.2678,19.5025,28.172
"15",270.6337,25.3757,19.4528,28.1789
"16",270.7501,25.2016,19.6292,28.1817
"17",270.5641,24.9605,19.5719,28.1922
"18",270.2059,25.0108,19.5437,28.2128
"19",270.0348,25.2622,19.5108,28.2096
"20",270.1536,25.3322,19.5532,28.2044
"21",270.2458,25.1802,19.4687,28.1857
"22",270.0758,25.0444,19.4537,28.2054
"23",269.7237,25.1138,19.3519,28.2064
"24",269.5089,25.3778,19.3205,28.2112
"25",269.5767,25.5427,19.3379,28.2108
"26",269.7686,25.5229,19.4047,28.2029
"27",269.8322,25.3786,19.3591,28.208
"28",269.7186,25.3174,19.3686,28.2061
"29",269.5978,25.4226,19.4079,28.2046
"30",269.6846,25.5129,19.3555,28.1824
"31",269.7664,25.3706,19.2059,28.179
"32",269.6686,25.2365,19.0683,28.1836
"33",269.4968,25.1958,19.0187,28.1875
"34",269.3452,25.3184,19.0049,28.1908
"35",269.407,25.3835,19.0254,28.1859
"36",269.4225,25.292,19.0208,28.1855
"37",269.2982,25.2478,19.0164,28.1841
"38",269.2091,25.2309,19.0212,28.1882
"39",269.1237,25.2276,18.9793,28.1925
"40",269.0632,25.2803,18.9448,28.1902
"41",269.0455,25.3096,18.9357,28.1908
"42",269.0578,25.3137,18.923,28.1926
"43",269.0588,25.3172,18.9021,28.192
"44",269.0959,25.3658,18.889,28.1914
"45",269.196,25.3331,18.9071,28.1932
"46",269.1056,25.2032,18.896,28.1979
"47",268.8211,25.1412,18.9154,28.2225
"48",268.5958,25.146,18.993,28.2147
"49",268.4695,25.157,18.9197,28.2157
"50",268.3982,25.1677,18.9375,28.217
"51",268.2748,25.173,18.9128,28.2158
"52",268.0926,25.1108,18.8828,28.2211
"53",267.8273,25.1244,18.8555,28.2245
"54",267.7095,25.333,18.8155,28.2088
"55",267.7706,25.5302,18.7532,28.2043
"56",267.9281,25.57,18.7467,28.2078
"57",268.0355,25.5191,18.6959,28.2071
"58",268.0117,25.4506,18.6395,28.2075
"59",267.8836,25.4051,18.6182,28.2234
"60",267.742,25.4266,18.5218,28.2087
"61",267.66,25.4669,18.4776,28.2027
"62",267.5765,25.4939,18.4248,28.1993
"63",267.5109,25.5603,18.369,28.1947
"64",267.5048,25.7111,18.2199,28.188
"65",267.6298,25.9344,18.1442,28.1923
"66",267.9406,26.0914,18.2004,28.2061
"67",268.3629,26.0642,18.375,28.2529
"68",268.7674,25.9128,18.3331,28.2318
"69",269.1237,25.7316,18.2289,28.2288
"70",269.4545,25.5199,18.2197,28.231
"71",269.8042,25.3099,18.0927,28.2454
"72",270.1116,25.096,17.9085,28.2445
"73",270.2302,24.8567,17.8799,28.2413
"74",270.1592,24.6228,17.9232,28.2497
"75",269.9831,24.4234,17.9436,28.2477
"76",269.8063,24.3088,17.934,28.2542
"77",269.6316,24.274,17.9175,28.249
"78",269.4515,24.2856,17.9723,28.258
"79",269.2714,24.2996,18.0318,28.2703
"80",269.1367,24.2641,17.9913,28.2645
"81",269.0674,24.217,18.0061,28.2625
"82",269.0344,24.196,17.9766,28.2571
"83",268.9809,24.2085,17.9859,28.258
"84",268.8922,24.1898,18.0617,28.259
"85",268.7604,24.1261,18.0094,28.2515
"86",268.5671,24.0168,18.0187,28.2643
